"","class","mr","run","AO_live","AO_killed","RO_live","RO_killed","CO_live","CO_killed","SO_live","SO_killed","LO_live","LO_killed","AS_live","AS_killed","DL_live","DL_killed","total_timeouts","total_exceptions","total_live","total_killed","error_score","mutant_score"
"1","MethodCollection2","add",1,0,21,0,5,0,1,0,0,0,4,0,4,0,10,0,0,0,45,Inf,1
"2","MethodCollection2","add",2,0,26,0,5,0,1,0,0,0,4,0,0,0,9,0,0,0,45,Inf,1
"3","MethodCollection2","add",3,0,4,0,12,0,2,0,0,0,4,0,0,0,7,0,0,0,29,Inf,1
"4","MethodCollection2","add",4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,Inf,1
"5","MethodCollection2","add",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"6","MethodCollection2","add",6,3,221,1,48,0,10,0,0,0,0,0,4,2,73,0,0,6,356,Inf,0.98
"7","MethodCollection2","add",7,0,20,0,5,0,1,0,0,0,0,0,0,0,8,0,0,0,34,Inf,1
"8","MethodCollection2","add",8,1,33,0,12,0,1,0,0,0,5,0,8,0,20,0,0,1,79,Inf,0.99
"9","MethodCollection2","add",9,2,89,0,12,0,4,0,0,0,11,0,8,3,31,0,0,5,155,Inf,0.97
"10","MethodCollection2","add",10,0,11,0,13,0,3,0,0,0,6,0,0,0,6,0,0,0,39,Inf,1
"11","MethodCollection2","add",11,0,36,0,19,0,4,0,0,1,5,0,0,0,13,0,0,1,77,Inf,0.99
"12","MethodCollection2","add",12,0,23,0,5,0,0,0,0,0,4,0,0,1,12,0,0,1,44,Inf,0.98
"13","MethodCollection2","add",13,1,119,0,24,0,5,0,0,0,29,0,0,0,68,0,0,1,245,Inf,1
"14","MethodCollection2","add",14,0,10,0,5,0,1,0,0,0,4,0,0,0,4,0,0,0,24,Inf,1
"15","MethodCollection2","add",15,0,3,0,5,0,0,0,0,0,3,0,0,0,2,0,0,0,13,Inf,1
"16","MethodCollection2","add",16,0,1,0,18,0,3,0,0,0,6,0,0,0,16,0,0,0,44,Inf,1
"17","MethodCollection2","add",17,0,23,0,10,0,0,0,0,0,2,0,0,0,11,0,0,0,46,Inf,1
"18","MethodCollection2","add",18,0,2,0,7,0,2,0,0,0,3,0,0,0,9,0,0,0,23,Inf,1
"19","MethodCollection2","add",19,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Inf,1
"20","MethodCollection2","add",1,0,5,1,3,1,0,0,0,0,2,0,2,0,4,3,10,2,16,1.6,0.89
"21","MethodCollection2","add",2,2,26,2,14,1,2,0,0,0,4,0,0,1,18,8,31,6,64,2.06451612903226,0.91
"22","MethodCollection2","add",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"23","MethodCollection2","add",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"24","MethodCollection2","add",5,1,25,0,16,1,2,0,0,1,2,0,0,1,13,6,35,4,58,1.65714285714286,0.94
"25","MethodCollection2","add",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"26","MethodCollection2","add",7,0,12,0,4,0,1,0,0,0,2,0,0,1,5,2,12,1,24,2,0.96
"27","MethodCollection2","add",8,1,11,1,10,0,2,0,0,0,3,0,0,0,4,1,10,2,30,3,0.94
"28","MethodCollection2","add",9,1,10,1,10,0,2,0,0,0,3,0,0,1,4,3,10,3,29,2.9,0.91
"29","MethodCollection2","add",10,0,3,1,3,0,1,0,0,1,0,0,0,0,2,2,12,2,9,0.75,0.82
"30","MethodCollection2","add",11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"31","MethodCollection2","add",12,0,10,1,3,0,1,0,0,0,1,0,4,0,8,2,14,1,27,1.92857142857143,0.96
"32","MethodCollection2","add",13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"33","MethodCollection2","add",14,0,12,1,3,0,1,0,0,0,2,0,4,0,7,3,9,1,29,3.22222222222222,0.97
"34","MethodCollection2","add",15,0,12,0,11,0,2,0,0,0,4,0,0,0,5,4,8,0,34,4.25,1
"35","MethodCollection2","add",16,1,26,1,10,1,1,0,0,0,3,0,0,1,25,8,18,4,65,3.61111111111111,0.94
"36","MethodCollection2","add",17,2,65,0,8,0,2,0,0,0,4,0,0,5,25,6,21,7,104,4.95238095238095,0.94
"37","MethodCollection2","add",18,2,15,1,15,0,3,0,0,0,4,0,0,2,12,10,30,5,49,1.63333333333333,0.91
"38","MethodCollection2","add",19,2,8,1,3,0,1,0,0,0,3,1,1,0,6,3,10,4,22,2.2,0.85
"39","MethodCollection2","add",20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"40","MethodCollection2","add",21,7,48,2,21,0,4,0,0,0,6,0,0,1,36,11,47,10,115,2.4468085106383,0.92
