class,mr,run,AO_live,AO_killed,RO_live,RO_killed,CO_live,CO_killed,SO_live,SO_killed,LO_live,LO_killed,AS_live,AS_killed,DL_live,DL_killed,total_timeouts,total_exceptions,total_live,total_killed,error_score,mutant_score
MethodCollection2,add,1,0,21,0,5,0,1,0,0,0,4,0,4,0,10,0,0,0,45,Infinity,1.00
MethodCollection2,add,2,0,26,0,5,0,1,0,0,0,4,0,0,0,9,0,0,0,45,Infinity,1.00
MethodCollection2,add,3,0,4,0,12,0,2,0,0,0,4,0,0,0,7,0,0,0,29,Infinity,1.00
MethodCollection2,add,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,Infinity,1.00
MethodCollection2,add,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
MethodCollection2,add,6,3,221,1,48,0,10,0,0,0,0,0,4,2,73,0,0,6,356,Infinity,0.98
MethodCollection2,add,7,0,20,0,5,0,1,0,0,0,0,0,0,0,8,0,0,0,34,Infinity,1.00
MethodCollection2,add,8,1,33,0,12,0,1,0,0,0,5,0,8,0,20,0,0,1,79,Infinity,0.99
MethodCollection2,add,9,2,89,0,12,0,4,0,0,0,11,0,8,3,31,0,0,5,155,Infinity,0.97
MethodCollection2,add,10,0,11,0,13,0,3,0,0,0,6,0,0,0,6,0,0,0,39,Infinity,1.00
MethodCollection2,add,11,0,36,0,19,0,4,0,0,1,5,0,0,0,13,0,0,1,77,Infinity,0.99
MethodCollection2,add,12,0,23,0,5,0,0,0,0,0,4,0,0,1,12,0,0,1,44,Infinity,0.98
MethodCollection2,add,13,1,119,0,24,0,5,0,0,0,29,0,0,0,68,0,0,1,245,Infinity,1.00
MethodCollection2,add,14,0,10,0,5,0,1,0,0,0,4,0,0,0,4,0,0,0,24,Infinity,1.00
MethodCollection2,add,15,0,3,0,5,0,0,0,0,0,3,0,0,0,2,0,0,0,13,Infinity,1.00
MethodCollection2,add,16,0,1,0,18,0,3,0,0,0,6,0,0,0,16,0,0,0,44,Infinity,1.00
MethodCollection2,add,17,0,23,0,10,0,0,0,0,0,2,0,0,0,11,0,0,0,46,Infinity,1.00
MethodCollection2,add,18,0,2,0,7,0,2,0,0,0,3,0,0,0,9,0,0,0,23,Infinity,1.00
MethodCollection2,add,19,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Infinity,1.00
MethodCollection2,add,1,0,5,1,3,1,0,0,0,0,2,0,2,0,4,3,10,2,16,1.6,0.89
MethodCollection2,add,2,2,26,2,14,1,2,0,0,0,4,0,0,1,18,8,31,6,64,2.064516129032258,0.91
MethodCollection2,add,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
MethodCollection2,add,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
