class,mr,run,AO_live,AO_killed,RO_live,RO_killed,CO_live,CO_killed,SO_live,SO_killed,LO_live,LO_killed,AS_live,AS_killed,DL_live,DL_killed,total_timeouts,total_exceptions,total_live,total_killed,error_score,mutant_score
MethodCollection2,aggregate,1,0,21,0,5,0,1,0,0,0,4,0,4,0,10,0,0,0,45,Infinity,1.00
MethodCollection2,aggregate,2,0,26,0,5,0,1,0,0,0,4,0,0,0,9,0,0,0,45,Infinity,1.00
MethodCollection2,aggregate,3,0,10,0,12,0,2,0,0,0,6,0,4,0,7,0,0,0,41,Infinity,1.00
MethodCollection2,aggregate,4,0,10,0,12,0,2,0,0,0,6,0,4,0,7,0,0,0,41,Infinity,1.00
MethodCollection2,aggregate,5,0,10,0,12,0,2,0,0,0,6,0,4,0,7,0,0,0,41,Infinity,1.00
MethodCollection2,aggregate,6,5,354,2,66,0,13,0,0,0,4,0,12,3,123,0,0,10,572,Infinity,0.98
MethodCollection2,aggregate,7,0,20,0,5,0,1,0,0,0,5,0,0,0,8,0,0,0,39,Infinity,1.00
MethodCollection2,aggregate,8,1,39,0,17,0,3,0,0,0,7,0,8,0,20,0,0,1,94,Infinity,0.99
MethodCollection2,aggregate,9,2,99,0,17,0,4,0,0,0,11,0,12,3,38,0,0,5,181,Infinity,0.97
MethodCollection2,aggregate,10,0,11,0,13,0,3,0,0,0,6,0,0,0,8,0,0,0,41,Infinity,1.00
MethodCollection2,aggregate,11,0,39,0,19,0,6,0,0,1,5,0,4,0,18,0,0,1,91,Infinity,0.99
MethodCollection2,aggregate,12,0,37,0,5,0,1,0,0,0,4,0,0,1,15,0,0,1,62,Infinity,0.98
MethodCollection2,aggregate,13,1,179,0,29,0,5,0,0,0,32,0,8,0,83,0,0,1,336,Infinity,1.00
MethodCollection2,aggregate,14,1,40,0,5,0,1,0,0,0,5,0,0,0,18,0,0,1,69,Infinity,0.99
MethodCollection2,aggregate,15,0,27,0,5,0,1,0,0,0,5,0,4,0,13,0,0,0,55,Infinity,1.00
MethodCollection2,aggregate,16,0,17,0,23,0,11,0,0,0,6,0,0,1,22,0,0,1,79,Infinity,0.99
MethodCollection2,aggregate,17,1,116,0,17,0,4,0,0,0,12,1,15,0,57,0,0,2,221,Infinity,0.99
MethodCollection2,aggregate,18,0,83,1,53,0,17,0,0,0,26,0,0,0,35,0,0,1,214,Infinity,1.00
MethodCollection2,aggregate,19,0,23,0,5,0,1,0,0,0,5,1,3,0,11,0,0,1,48,Infinity,0.98
MethodCollection2,aggregate,1,0,5,1,3,1,0,0,0,0,2,0,2,0,4,3,12,2,16,1.3333333333333333,0.89
MethodCollection2,aggregate,2,2,26,2,14,1,2,0,0,0,4,0,0,1,18,8,31,6,64,2.064516129032258,0.91
MethodCollection2,aggregate,3,8,34,5,14,0,4,0,0,0,7,0,4,2,22,17,50,15,85,1.7,0.85
MethodCollection2,aggregate,4,1,9,1,10,0,2,0,0,0,3,0,0,0,7,1,9,2,31,3.4444444444444446,0.94
MethodCollection2,aggregate,5,1,25,0,16,1,2,0,0,0,3,0,0,1,13,6,36,3,59,1.6388888888888888,0.95
MethodCollection2,aggregate,6,0,9,1,3,0,1,0,0,0,2,1,3,1,7,2,16,3,25,1.5625,0.89
MethodCollection2,aggregate,7,0,12,0,4,0,1,0,0,0,2,0,0,1,5,2,12,1,24,2.0,0.96
MethodCollection2,aggregate,8,1,11,0,11,0,2,0,0,0,3,0,0,0,4,1,10,1,31,3.1,0.97
MethodCollection2,aggregate,9,1,10,1,10,0,2,0,0,0,3,0,0,1,4,3,12,3,29,2.4166666666666665,0.91
MethodCollection2,aggregate,10,0,3,1,3,0,1,0,0,1,0,0,0,0,2,2,12,2,9,0.75,0.82
MethodCollection2,aggregate,11,1,13,0,4,0,1,0,0,0,1,0,4,1,13,2,32,2,36,1.125,0.95
MethodCollection2,aggregate,12,0,10,1,3,0,1,0,0,0,1,0,4,0,8,2,18,1,27,1.5,0.96
MethodCollection2,aggregate,13,0,7,0,4,0,1,0,0,0,1,0,4,2,6,2,17,2,23,1.3529411764705883,0.92
MethodCollection2,aggregate,14,0,12,1,3,0,1,0,0,0,2,0,4,0,7,3,9,1,29,3.2222222222222223,0.97
MethodCollection2,aggregate,15,0,12,0,11,0,2,0,0,0,4,0,0,0,5,4,10,0,34,3.4,1.00
MethodCollection2,aggregate,16,1,26,1,10,1,1,0,0,0,3,0,0,1,25,8,26,4,65,2.5,0.94
MethodCollection2,aggregate,17,2,65,0,8,0,2,0,0,0,4,0,0,4,26,6,21,6,105,5.0,0.95
MethodCollection2,aggregate,18,1,16,1,15,0,3,0,0,0,4,0,0,2,12,10,30,4,50,1.6666666666666667,0.93
