class,mr,run,AO_live,AO_killed,RO_live,RO_killed,CO_live,CO_killed,SO_live,SO_killed,LO_live,LO_killed,AS_live,AS_killed,DL_live,DL_killed,total_timeouts,total_exceptions,total_live,total_killed,error_score,mutant_score
MethodCollection2,all,1,0,21,0,5,0,1,0,0,0,4,0,4,0,10,0,0,0,45,Infinity,1.00
MethodCollection2,all,2,0,26,0,5,0,1,0,0,0,4,0,0,0,9,0,0,0,45,Infinity,1.00
MethodCollection2,all,3,0,10,0,12,0,2,0,0,0,6,0,4,0,7,0,0,0,41,Infinity,1.00
MethodCollection2,all,4,0,10,0,12,0,2,0,0,0,6,0,4,0,7,0,0,0,41,Infinity,1.00
MethodCollection2,all,5,0,10,0,12,0,2,0,0,0,6,0,4,0,7,0,0,0,41,Infinity,1.00
MethodCollection2,all,6,5,354,2,66,0,13,0,0,0,4,0,12,3,123,0,0,10,572,Infinity,0.98
MethodCollection2,all,7,0,20,0,5,0,1,0,0,0,5,0,0,0,8,0,0,0,39,Infinity,1.00
MethodCollection2,all,8,1,39,0,17,0,3,0,0,0,7,0,8,0,20,0,0,1,94,Infinity,0.99
MethodCollection2,all,9,2,99,0,17,0,4,0,0,0,11,0,12,3,38,0,0,5,181,Infinity,0.97
MethodCollection2,all,10,0,11,0,13,0,3,0,0,0,6,0,0,0,8,0,0,0,41,Infinity,1.00
MethodCollection2,all,11,0,39,0,19,0,4,0,0,1,5,0,0,0,18,0,0,1,85,Infinity,0.99
MethodCollection2,all,12,0,37,0,5,0,1,0,0,0,4,0,0,1,15,0,0,1,62,Infinity,0.98
MethodCollection2,all,13,1,127,0,29,0,5,0,0,0,32,0,0,0,83,0,0,1,276,Infinity,1.00
MethodCollection2,all,14,1,24,0,5,0,1,0,0,0,5,0,0,0,18,0,0,1,53,Infinity,0.98
MethodCollection2,all,15,0,19,0,5,0,1,0,0,0,5,0,0,0,13,0,0,0,43,Infinity,1.00
MethodCollection2,all,16,0,13,0,23,0,6,0,0,0,6,0,0,0,16,0,0,0,64,Infinity,1.00
MethodCollection2,all,17,1,44,0,17,0,4,0,0,0,12,0,0,0,15,0,0,1,92,Infinity,0.99
MethodCollection2,all,18,0,5,1,53,0,3,0,0,0,13,0,0,0,18,0,0,1,92,Infinity,0.99
MethodCollection2,all,19,0,1,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,11,Infinity,1.00
MethodCollection2,all,1,0,5,1,3,1,0,0,0,0,2,0,2,0,4,3,0,2,16,Infinity,0.89
MethodCollection2,all,2,2,26,2,14,1,2,0,0,0,4,0,0,1,18,8,0,6,64,Infinity,0.91
MethodCollection2,all,3,8,34,5,14,0,4,0,0,0,7,0,4,2,22,17,0,15,85,Infinity,0.85
MethodCollection2,all,4,1,9,1,10,0,2,0,0,1,2,0,0,0,7,1,0,3,30,Infinity,0.91
MethodCollection2,all,5,1,25,0,16,1,2,0,0,1,2,0,0,1,13,6,0,4,58,Infinity,0.94
MethodCollection2,all,6,0,9,1,3,0,1,0,0,0,2,1,3,1,7,2,0,3,25,Infinity,0.89
MethodCollection2,all,7,0,12,0,4,0,1,0,0,0,2,0,0,1,5,2,0,1,24,Infinity,0.96
MethodCollection2,all,8,1,11,1,10,0,2,0,0,0,3,0,0,0,4,1,0,2,30,Infinity,0.94
MethodCollection2,all,9,1,10,1,10,0,2,0,0,0,3,0,0,1,4,3,0,3,29,Infinity,0.91
MethodCollection2,all,10,0,3,1,3,0,1,0,0,1,0,0,0,0,2,2,0,2,9,Infinity,0.82
MethodCollection2,all,11,1,13,0,4,0,1,0,0,0,1,0,4,1,13,2,0,2,36,Infinity,0.95
MethodCollection2,all,12,0,10,1,3,0,1,0,0,0,1,0,4,0,8,2,0,1,27,Infinity,0.96
MethodCollection2,all,13,0,7,0,4,0,1,0,0,0,1,0,4,2,6,2,0,2,23,Infinity,0.92
MethodCollection2,all,14,0,12,1,3,0,1,0,0,0,2,0,4,0,7,3,0,1,29,Infinity,0.97
MethodCollection2,all,15,0,12,0,11,0,2,0,0,0,4,0,0,0,5,4,0,0,34,Infinity,1.00
MethodCollection2,all,16,1,26,1,10,1,1,0,0,0,3,0,0,1,25,8,0,4,65,Infinity,0.94
MethodCollection2,all,17,2,65,0,8,0,2,0,0,0,4,0,0,5,25,6,0,7,104,Infinity,0.94
MethodCollection2,all,18,2,15,1,15,0,3,0,0,0,4,0,0,2,12,10,0,5,49,Infinity,0.91
MethodCollection2,all,19,2,8,1,3,0,1,0,0,0,3,1,1,0,6,3,0,4,22,Infinity,0.85
MethodCollection2,all,20,0,15,1,3,1,0,0,0,0,3,0,2,2,8,3,0,4,31,Infinity,0.89
MethodCollection2,all,21,7,48,2,21,0,4,0,0,0,6,0,0,1,36,11,0,10,115,Infinity,0.92
MethodCollection2,all,22,0,3,0,5,0,1,0,0,0,1,0,0,1,3,0,0,1,13,Infinity,0.93
MethodCollection2,all,23,4,18,0,4,1,0,0,0,0,1,0,8,2,12,3,0,7,43,Infinity,0.86
MethodCollection2,all,24,0,10,1,10,0,2,0,0,0,3,0,0,0,6,3,0,1,31,Infinity,0.97
MethodCollection2,all,25,2,19,2,16,0,3,0,0,0,5,0,0,0,8,3,0,4,51,Infinity,0.93
MethodCollection2,all,26,0,8,0,11,1,1,0,0,0,1,0,0,0,5,5,0,1,26,Infinity,0.96
MethodCollection2,all,27,0,7,1,10,0,2,0,0,0,1,0,0,0,5,5,0,1,25,Infinity,0.96
MethodCollection2,all,28,1,5,1,10,0,2,0,0,0,2,0,0,1,5,3,0,3,24,Infinity,0.89
MethodCollection2,all,29,1,5,2,9,2,0,0,0,1,1,0,0,1,5,3,0,7,20,Infinity,0.74
MethodCollection2,all,30,1,5,0,11,1,1,0,0,0,2,0,0,1,5,3,0,3,24,Infinity,0.89
MethodCollection2,all,1,0,5,0,4,0,1,0,0,0,2,0,2,0,4,3,0,0,18,Infinity,1.00
MethodCollection2,all,2,3,25,1,15,0,3,0,0,0,5,0,0,3,15,6,0,7,63,Infinity,0.90
MethodCollection2,all,3,3,39,2,18,0,4,0,0,0,9,0,6,0,25,16,0,5,101,Infinity,0.95
MethodCollection2,all,4,0,10,3,8,0,2,0,0,0,3,0,0,0,7,1,0,3,30,Infinity,0.91
MethodCollection2,all,5,2,24,0,16,0,3,0,0,0,3,0,0,3,11,6,0,5,57,Infinity,0.92
MethodCollection2,all,6,0,9,0,4,0,1,0,0,0,2,0,4,0,8,2,0,0,28,Infinity,1.00
MethodCollection2,all,7,2,10,0,4,0,1,0,0,0,2,0,0,2,4,2,0,4,21,Infinity,0.84
MethodCollection2,all,8,0,12,1,10,0,2,0,0,0,3,0,0,0,4,1,0,1,31,Infinity,0.97
MethodCollection2,all,9,0,10,2,9,0,2,0,0,0,3,0,0,0,5,3,0,2,29,Infinity,0.94
MethodCollection2,all,10,0,4,0,4,0,1,0,0,0,1,0,0,0,2,2,0,0,12,Infinity,1.00
MethodCollection2,all,11,0,14,1,3,0,1,0,0,0,1,0,4,1,13,2,0,2,36,Infinity,0.95
MethodCollection2,all,12,0,10,0,4,0,1,0,0,0,1,0,4,0,8,2,0,0,28,Infinity,1.00
MethodCollection2,all,13,1,6,0,4,0,1,0,0,0,1,0,4,1,7,2,0,2,23,Infinity,0.92
MethodCollection2,all,14,1,12,0,4,0,1,0,0,0,2,0,4,2,5,3,0,3,28,Infinity,0.90
MethodCollection2,all,15,0,12,1,10,0,2,0,0,0,3,0,0,0,5,4,0,1,32,Infinity,0.97
MethodCollection2,all,16,0,24,0,11,0,2,0,0,0,3,0,0,0,26,7,0,0,66,Infinity,1.00
MethodCollection2,all,17,1,67,0,8,0,2,0,0,0,4,0,0,2,28,6,0,3,109,Infinity,0.97
MethodCollection2,all,18,1,17,0,17,0,3,0,0,0,4,0,0,0,13,11,0,1,54,Infinity,0.98
MethodCollection2,all,19,1,9,0,4,0,1,0,0,0,3,0,2,0,6,3,0,1,25,Infinity,0.96
MethodCollection2,all,20,1,15,0,4,0,1,0,0,0,3,0,2,0,10,3,0,1,35,Infinity,0.97
MethodCollection2,all,21,3,54,1,21,0,4,0,0,0,8,0,0,1,35,11,0,5,122,Infinity,0.96
MethodCollection2,all,22,0,4,0,5,0,1,0,0,0,1,0,0,0,4,0,0,0,15,Infinity,1.00
MethodCollection2,all,23,0,23,0,4,0,1,0,0,0,1,0,8,0,14,3,0,0,51,Infinity,1.00
MethodCollection2,all,24,0,10,1,10,0,2,0,0,0,3,0,0,0,6,3,0,1,31,Infinity,0.97
MethodCollection2,all,25,0,23,0,18,0,3,0,0,0,5,0,0,2,6,4,0,2,55,Infinity,0.96
MethodCollection2,all,26,1,8,0,11,0,2,0,0,0,1,0,0,0,5,6,0,1,27,Infinity,0.96
MethodCollection2,all,27,0,7,2,9,0,2,0,0,0,1,0,0,0,5,4,0,2,24,Infinity,0.92
MethodCollection2,all,28,0,6,0,11,1,1,0,0,0,2,0,0,0,6,3,0,1,26,Infinity,0.96
MethodCollection2,all,29,0,6,0,11,0,2,0,0,0,2,0,0,0,6,3,0,0,27,Infinity,1.00
MethodCollection2,all,30,0,6,0,11,0,2,0,0,0,2,0,0,0,6,3,0,0,27,Infinity,1.00
MethodCollection2,all,1,2,3,0,4,0,1,0,0,0,2,0,2,0,4,3,0,2,16,Infinity,0.89
MethodCollection2,all,2,1,28,0,16,0,3,0,0,0,5,0,0,1,18,6,0,2,70,Infinity,0.97
MethodCollection2,all,3,5,35,8,11,1,3,0,0,0,7,0,5,3,22,15,0,17,83,Infinity,0.83
MethodCollection2,all,4,2,8,0,11,0,2,0,0,1,2,0,0,2,5,1,0,5,28,Infinity,0.85
MethodCollection2,all,5,1,24,3,13,0,3,0,0,1,3,0,0,2,12,7,0,7,55,Infinity,0.89
MethodCollection2,all,6,0,9,0,4,0,1,0,0,0,2,0,4,0,8,2,0,0,28,Infinity,1.00
MethodCollection2,all,7,3,8,1,3,0,1,0,0,0,2,0,0,1,5,2,0,5,19,Infinity,0.79
MethodCollection2,all,8,4,9,1,10,2,0,0,0,0,4,0,0,1,3,1,0,8,26,Infinity,0.76
MethodCollection2,all,9,1,9,1,10,1,1,0,0,0,3,0,0,1,4,3,0,4,27,Infinity,0.87
MethodCollection2,all,10,1,3,2,2,0,1,0,0,0,1,0,0,0,2,2,0,3,9,Infinity,0.75
MethodCollection2,all,11,2,12,0,4,0,1,0,0,0,1,1,3,1,13,2,0,4,34,Infinity,0.89
MethodCollection2,all,12,1,9,1,3,0,1,0,0,0,1,0,4,0,8,2,0,2,26,Infinity,0.93
MethodCollection2,all,13,1,6,1,3,0,1,0,0,0,1,0,4,2,6,2,0,4,21,Infinity,0.84
MethodCollection2,all,14,1,11,0,4,0,1,0,0,0,2,0,4,1,6,3,0,2,28,Infinity,0.93
MethodCollection2,all,15,0,13,1,10,0,2,0,0,0,3,0,0,0,5,3,0,1,33,Infinity,0.97
MethodCollection2,all,16,6,21,1,10,0,2,0,0,0,3,0,0,2,24,6,0,9,60,Infinity,0.87
MethodCollection2,all,17,5,64,2,6,0,2,0,0,0,4,0,0,6,24,6,0,13,100,Infinity,0.88
MethodCollection2,all,18,4,19,2,15,0,3,0,0,0,4,0,0,2,12,10,0,8,53,Infinity,0.87
MethodCollection2,all,19,2,8,1,3,0,1,0,0,0,3,0,2,2,4,3,0,5,21,Infinity,0.81
MethodCollection2,all,20,1,16,1,3,0,1,0,0,1,2,0,2,0,10,3,0,3,34,Infinity,0.92
MethodCollection2,all,21,7,47,1,21,0,4,0,0,1,7,0,0,2,34,11,0,11,113,Infinity,0.91
MethodCollection2,all,22,0,2,0,5,0,1,0,0,0,1,0,0,0,4,0,0,0,13,Infinity,1.00
MethodCollection2,all,23,4,19,0,4,0,1,0,0,0,1,1,7,2,12,3,0,7,44,Infinity,0.86
MethodCollection2,all,24,3,7,4,7,0,2,0,0,1,2,0,0,0,6,3,0,8,24,Infinity,0.75
MethodCollection2,all,25,1,23,1,17,0,3,0,0,1,5,0,0,2,6,6,0,5,54,Infinity,0.92
MethodCollection2,all,26,0,9,0,11,0,2,0,0,0,1,0,0,1,4,5,0,1,27,Infinity,0.96
MethodCollection2,all,27,1,6,3,8,0,2,0,0,0,1,0,0,0,5,6,0,4,22,Infinity,0.85
MethodCollection2,all,28,1,5,1,10,1,1,0,0,0,2,0,0,1,5,3,0,4,23,Infinity,0.85
MethodCollection2,all,29,1,5,0,11,0,2,0,0,1,1,0,0,0,6,3,0,2,25,Infinity,0.93
MethodCollection2,all,30,0,6,2,9,0,2,0,0,1,1,0,0,0,6,3,0,3,24,Infinity,0.89
MethodCollection2,all,1,0,5,0,4,0,1,0,0,0,2,0,2,0,4,3,0,0,18,Infinity,1.00
MethodCollection2,all,2,2,24,1,15,0,3,0,0,0,5,0,0,2,17,6,0,5,64,Infinity,0.93
MethodCollection2,all,3,0,40,0,19,1,3,0,0,1,8,0,5,1,23,16,0,3,98,Infinity,0.97
MethodCollection2,all,4,0,10,0,11,1,1,0,0,1,2,0,0,0,6,2,0,2,30,Infinity,0.94
MethodCollection2,all,5,1,25,0,16,0,3,0,0,0,3,0,0,1,13,7,0,2,60,Infinity,0.97
MethodCollection2,all,6,0,9,0,4,0,1,0,0,1,1,0,4,0,8,2,0,1,27,Infinity,0.96
MethodCollection2,all,7,1,12,0,4,0,1,0,0,0,2,0,0,0,6,2,0,1,25,Infinity,0.96
MethodCollection2,all,8,0,13,0,11,0,2,0,0,0,3,0,0,0,4,2,0,0,33,Infinity,1.00
MethodCollection2,all,9,1,10,3,8,0,2,0,0,1,2,0,0,0,5,3,0,5,27,Infinity,0.84
MethodCollection2,all,10,0,2,0,4,0,1,0,0,0,1,0,0,0,2,2,0,0,10,Infinity,1.00
MethodCollection2,all,11,1,13,0,4,0,1,0,0,0,1,0,4,1,13,2,0,2,36,Infinity,0.95
MethodCollection2,all,12,0,10,1,3,0,1,0,0,0,1,0,4,0,8,2,0,1,27,Infinity,0.96
MethodCollection2,all,13,0,7,0,4,0,1,0,0,0,1,0,4,0,8,2,0,0,25,Infinity,1.00
MethodCollection2,all,14,0,13,1,3,0,1,0,0,0,2,0,4,0,7,3,0,1,30,Infinity,0.97
MethodCollection2,all,15,0,12,0,11,0,2,0,0,0,3,0,0,0,5,4,0,0,33,Infinity,1.00
MethodCollection2,all,16,1,25,0,11,0,2,0,0,1,2,0,0,2,24,6,0,4,64,Infinity,0.94
MethodCollection2,all,17,4,63,1,7,0,2,0,0,0,4,0,0,1,29,6,0,6,105,Infinity,0.95
MethodCollection2,all,18,1,19,1,15,0,3,0,0,0,5,0,0,0,13,10,0,2,55,Infinity,0.96
MethodCollection2,all,19,0,10,0,4,0,1,0,0,0,3,0,2,1,5,3,0,1,25,Infinity,0.96
MethodCollection2,all,20,1,14,0,4,0,1,0,0,0,3,0,2,1,9,3,0,2,33,Infinity,0.94
MethodCollection2,all,21,2,52,2,21,1,3,0,0,0,8,0,0,3,33,9,0,8,117,Infinity,0.94
MethodCollection2,all,22,0,3,1,4,0,1,0,0,0,1,0,0,0,4,0,0,1,13,Infinity,0.93
MethodCollection2,all,23,1,23,0,4,0,1,0,0,0,1,1,7,1,13,3,0,3,49,Infinity,0.94
MethodCollection2,all,24,0,10,0,11,0,2,0,0,0,3,0,0,0,6,3,0,0,32,Infinity,1.00
MethodCollection2,all,25,1,20,1,17,0,3,0,0,2,4,0,0,1,7,4,0,5,51,Infinity,0.91
MethodCollection2,all,26,0,6,1,10,0,2,0,0,0,1,0,0,0,5,5,0,1,24,Infinity,0.96
MethodCollection2,all,27,0,8,3,8,0,2,0,0,0,1,0,0,0,5,6,0,3,24,Infinity,0.89
MethodCollection2,all,28,0,6,0,11,0,2,0,0,0,2,0,0,0,6,3,0,0,27,Infinity,1.00
MethodCollection2,all,29,0,6,1,10,0,2,0,0,0,2,0,0,1,5,3,0,2,25,Infinity,0.93
MethodCollection2,all,30,1,5,0,11,0,2,0,0,0,2,0,0,0,6,3,0,1,26,Infinity,0.96
MethodCollection2,all,1,1,4,1,3,0,1,0,0,0,2,0,2,0,4,3,0,2,16,Infinity,0.89
MethodCollection2,all,2,4,22,4,12,0,3,0,0,1,3,0,0,2,17,8,0,11,57,Infinity,0.84
MethodCollection2,all,3,15,26,5,14,1,3,0,0,3,6,2,3,4,21,16,0,30,73,Infinity,0.71
MethodCollection2,all,4,5,5,0,11,0,2,0,0,1,2,0,0,1,6,1,0,7,26,Infinity,0.79
MethodCollection2,all,5,4,23,5,11,1,2,0,0,1,2,0,0,1,13,6,0,12,51,Infinity,0.81
MethodCollection2,all,6,4,5,1,3,1,0,0,0,0,2,0,4,1,7,2,0,7,21,Infinity,0.75
MethodCollection2,all,7,6,7,1,3,1,0,0,0,1,1,0,0,4,2,2,0,13,13,Infinity,0.50
