class,mr,run,AO_live,AO_killed,RO_live,RO_killed,CO_live,CO_killed,SO_live,SO_killed,LO_live,LO_killed,AS_live,AS_killed,DL_live,DL_killed,total_timeouts,total_exceptions,total_live,total_killed,error_score,mutant_score
MethodCollection2,exc,1,1,12,0,5,0,1,0,0,0,4,0,4,0,6,0,0,1,32,Infinity,0.97
MethodCollection2,exc,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
MethodCollection2,exc,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
MethodCollection2,exc,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
MethodCollection2,exc,5,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,5,Infinity,1.00
MethodCollection2,exc,6,6,118,1,18,0,3,0,0,0,2,0,8,2,41,0,0,9,190,Infinity,0.95
MethodCollection2,exc,7,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,Infinity,1.00
MethodCollection2,exc,8,1,11,0,5,0,2,0,0,0,2,0,4,1,9,0,0,2,33,Infinity,0.94
MethodCollection2,exc,9,0,18,0,5,0,2,0,0,0,5,0,0,1,11,0,0,1,41,Infinity,0.98
MethodCollection2,exc,10,0,0,0,6,0,0,0,0,0,1,0,0,0,2,0,0,0,9,Infinity,1.00
MethodCollection2,exc,11,0,9,0,5,0,1,0,0,0,0,0,0,0,5,0,0,0,20,Infinity,1.00
MethodCollection2,exc,12,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,1,6,Infinity,0.86
MethodCollection2,exc,13,0,9,0,6,0,0,0,0,0,5,0,0,1,13,0,0,1,33,Infinity,0.97
MethodCollection2,exc,14,0,1,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,6,Infinity,1.00
MethodCollection2,exc,15,0,0,0,0,0,1,0,0,0,2,0,0,1,8,0,0,1,11,Infinity,0.92
MethodCollection2,exc,16,0,8,1,4,0,1,0,0,0,0,0,0,1,2,0,0,2,15,Infinity,0.88
MethodCollection2,exc,17,3,33,0,7,0,2,0,0,0,1,0,0,0,4,0,0,3,47,Infinity,0.94
MethodCollection2,exc,18,0,2,1,18,0,3,0,0,1,12,0,0,0,4,0,0,2,39,Infinity,0.95
MethodCollection2,exc,19,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,Infinity,1.00
MethodCollection2,exc,1,1,4,2,2,1,0,0,0,0,2,0,2,2,2,3,10,6,12,1.2,0.67
MethodCollection2,exc,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
MethodCollection2,exc,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
MethodCollection2,exc,4,2,8,3,8,0,2,0,0,1,2,0,0,1,6,1,9,7,26,2.888888888888889,0.79
MethodCollection2,exc,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
MethodCollection2,exc,6,2,7,2,2,0,1,0,0,0,2,2,2,3,5,2,16,9,19,1.1875,0.68
MethodCollection2,exc,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
MethodCollection2,exc,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
MethodCollection2,exc,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
MethodCollection2,exc,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
MethodCollection2,exc,11,2,12,2,2,1,0,0,0,1,0,1,3,3,11,2,26,10,28,1.0769230769230769,0.74
MethodCollection2,exc,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
MethodCollection2,exc,13,1,6,1,3,0,1,0,0,0,1,2,2,3,5,2,15,7,18,1.2,0.72
MethodCollection2,exc,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
