class,mr,run,AO_live,AO_killed,RO_live,RO_killed,CO_live,CO_killed,SO_live,SO_killed,LO_live,LO_killed,AS_live,AS_killed,DL_live,DL_killed,total_timeouts,total_exceptions,total_live,total_killed,error_score,mutant_score
MethodCollection2,inc,1,0,13,0,5,0,1,0,0,0,4,0,4,0,6,0,0,0,33,Infinity,1.00
MethodCollection2,inc,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
MethodCollection2,inc,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
MethodCollection2,inc,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
MethodCollection2,inc,5,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,5,Infinity,1.00
MethodCollection2,inc,6,4,167,1,25,0,5,0,0,0,2,0,12,3,56,0,0,8,267,Infinity,0.97
MethodCollection2,inc,7,0,1,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,11,Infinity,1.00
MethodCollection2,inc,8,0,13,0,12,0,3,0,0,0,7,0,4,0,15,0,0,0,54,Infinity,1.00
MethodCollection2,inc,9,0,22,0,5,0,2,0,0,0,5,0,0,0,17,0,0,0,51,Infinity,1.00
MethodCollection2,inc,10,0,0,0,6,0,0,0,0,0,1,0,0,0,2,0,0,0,9,Infinity,1.00
MethodCollection2,inc,11,0,9,0,5,0,1,0,0,0,0,0,0,0,5,0,0,0,20,Infinity,1.00
MethodCollection2,inc,12,0,1,0,0,0,0,0,0,0,0,0,0,1,6,0,0,1,7,Infinity,0.88
MethodCollection2,inc,13,0,9,0,6,0,0,0,0,0,5,0,0,1,13,0,0,1,33,Infinity,0.97
MethodCollection2,inc,14,0,1,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,6,Infinity,1.00
MethodCollection2,inc,15,0,0,0,0,0,1,0,0,0,2,0,0,0,9,0,0,0,12,Infinity,1.00
MethodCollection2,inc,16,0,8,0,5,0,1,0,0,0,0,0,0,0,3,0,0,0,17,Infinity,1.00
MethodCollection2,inc,17,2,34,0,7,0,2,0,0,0,1,0,0,0,4,0,0,2,48,Infinity,0.96
MethodCollection2,inc,18,0,2,1,18,0,3,0,0,1,12,0,0,0,4,0,0,2,39,Infinity,0.95
MethodCollection2,inc,19,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,Infinity,1.00
MethodCollection2,inc,1,1,4,2,2,1,0,0,0,0,2,0,2,1,3,3,10,5,13,1.3,0.72
MethodCollection2,inc,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
MethodCollection2,inc,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
MethodCollection2,inc,4,5,5,2,9,1,1,0,0,1,2,0,0,2,5,1,9,11,22,2.4444444444444446,0.67
MethodCollection2,inc,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
MethodCollection2,inc,6,3,6,3,1,0,1,0,0,0,2,2,2,3,5,2,16,11,17,1.0625,0.61
MethodCollection2,inc,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
MethodCollection2,inc,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
MethodCollection2,inc,9,3,8,2,9,0,2,0,0,0,3,0,0,1,4,3,12,6,26,2.1666666666666665,0.81
MethodCollection2,inc,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
MethodCollection2,inc,11,4,10,2,2,0,1,0,0,1,0,0,4,6,8,2,26,13,25,0.9615384615384616,0.66
MethodCollection2,inc,12,2,8,3,1,0,1,0,0,0,1,1,3,2,6,2,16,8,20,1.25,0.71
MethodCollection2,inc,13,1,6,3,1,0,1,0,0,0,1,2,2,6,2,2,15,12,13,0.8666666666666667,0.52
MethodCollection2,inc,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
