class,mr,run,AO_live,AO_killed,RO_live,RO_killed,CO_live,CO_killed,SO_live,SO_killed,LO_live,LO_killed,AS_live,AS_killed,DL_live,DL_killed,total_timeouts,total_exceptions,total_live,total_killed,error_score,mutant_score
MethodCollection2,inv,1,21,0,5,0,1,0,0,0,4,0,4,0,10,0,0,0,45,0,NaN,0.00
MethodCollection2,inv,2,26,0,5,0,1,0,0,0,4,0,0,0,9,0,0,0,45,0,NaN,0.00
MethodCollection2,inv,3,10,0,12,0,2,0,0,0,6,0,4,0,7,0,0,0,41,0,NaN,0.00
MethodCollection2,inv,4,10,0,12,0,2,0,0,0,6,0,4,0,7,0,0,0,41,0,NaN,0.00
MethodCollection2,inv,5,9,0,12,0,2,0,0,0,6,0,0,0,7,0,0,0,36,0,NaN,0.00
MethodCollection2,inv,6,294,0,42,0,9,0,0,0,2,0,12,0,94,0,0,0,453,0,NaN,0.00
MethodCollection2,inv,7,20,0,5,0,1,0,0,0,5,0,0,0,8,0,0,0,39,0,NaN,0.00
MethodCollection2,inv,8,37,0,17,0,3,0,0,0,7,0,8,0,20,0,0,0,92,0,NaN,0.00
MethodCollection2,inv,9,101,0,17,0,4,0,0,0,11,0,4,0,40,0,0,0,177,0,NaN,0.00
MethodCollection2,inv,10,11,0,13,0,3,0,0,0,6,0,0,0,8,0,0,0,41,0,NaN,0.00
MethodCollection2,inv,11,39,0,19,0,4,0,0,0,6,0,0,0,18,0,0,0,86,0,NaN,0.00
MethodCollection2,inv,12,37,0,5,0,1,0,0,0,4,0,0,0,16,0,0,0,63,0,NaN,0.00
MethodCollection2,inv,13,87,0,29,0,5,0,0,0,31,0,0,0,54,0,0,0,206,0,NaN,0.00
MethodCollection2,inv,14,7,0,5,0,0,0,0,0,0,0,0,0,8,0,0,0,20,0,NaN,0.00
MethodCollection2,inv,15,3,0,5,0,0,0,0,0,3,0,0,0,8,0,0,0,19,0,NaN,0.00
MethodCollection2,inv,16,9,0,13,0,3,0,0,0,6,0,0,0,16,0,0,0,47,0,NaN,0.00
MethodCollection2,inv,17,28,0,10,0,1,0,0,0,3,0,0,0,6,0,0,0,48,0,NaN,0.00
MethodCollection2,inv,18,4,0,21,0,2,0,0,0,7,0,0,0,10,0,0,0,44,0,NaN,0.00
MethodCollection2,inv,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NaN,0.00
