class,mr,run,AO_live,AO_killed,RO_live,RO_killed,CO_live,CO_killed,SO_live,SO_killed,LO_live,LO_killed,AS_live,AS_killed,DL_live,DL_killed,total_timeouts,total_exceptions,total_live,total_killed,error_score,mutant_score
MethodCollection2,mult,1,1,20,0,5,0,1,0,0,0,4,0,4,1,9,0,0,2,43,Infinity,0.96
MethodCollection2,mult,2,0,26,0,5,0,1,0,0,0,4,0,0,1,8,0,0,1,44,Infinity,0.98
MethodCollection2,mult,3,0,10,0,12,0,2,0,0,0,6,0,4,0,7,0,0,0,41,Infinity,1.00
MethodCollection2,mult,4,1,9,0,12,0,2,0,0,1,5,0,4,1,6,0,0,3,38,Infinity,0.93
MethodCollection2,mult,5,0,9,0,12,0,2,0,0,0,6,0,4,0,7,0,0,0,40,Infinity,1.00
MethodCollection2,mult,6,8,311,3,46,0,10,0,0,0,2,0,12,3,104,0,0,14,485,Infinity,0.97
MethodCollection2,mult,7,2,18,0,5,0,1,0,0,0,5,0,0,0,8,0,0,2,37,Infinity,0.95
MethodCollection2,mult,8,2,36,0,17,0,3,0,0,0,7,0,8,1,19,0,0,3,90,Infinity,0.97
MethodCollection2,mult,9,6,95,0,17,0,4,0,0,0,11,0,12,3,37,0,0,9,176,Infinity,0.95
MethodCollection2,mult,10,1,10,0,13,0,3,0,0,0,6,0,0,0,8,0,0,1,40,Infinity,0.98
MethodCollection2,mult,11,3,36,1,18,1,3,0,0,2,4,0,0,0,18,0,0,7,79,Infinity,0.92
MethodCollection2,mult,12,0,37,0,5,0,1,0,0,0,4,0,0,1,15,0,0,1,62,Infinity,0.98
MethodCollection2,mult,13,3,121,0,29,1,4,0,0,0,32,0,0,2,70,0,0,6,256,Infinity,0.98
MethodCollection2,mult,14,1,23,0,5,0,1,0,0,0,4,0,0,0,16,0,0,1,49,Infinity,0.98
MethodCollection2,mult,15,0,19,0,5,0,0,0,0,0,3,0,0,0,4,0,0,0,31,Infinity,1.00
MethodCollection2,mult,16,0,5,0,18,0,5,0,0,0,6,0,0,0,16,0,0,0,50,Infinity,1.00
MethodCollection2,mult,17,1,28,1,9,0,2,0,0,0,11,0,0,0,11,0,0,2,61,Infinity,0.97
MethodCollection2,mult,18,0,3,1,34,0,2,0,0,1,2,0,0,1,13,0,0,3,54,Infinity,0.95
MethodCollection2,mult,19,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,6,Infinity,1.00
MethodCollection2,mult,1,0,5,1,3,1,0,0,0,0,2,0,2,0,4,3,10,2,16,1.6,0.89
MethodCollection2,mult,2,6,22,4,12,1,2,0,0,0,4,0,0,2,17,8,31,13,57,1.8387096774193548,0.81
MethodCollection2,mult,3,9,33,8,11,0,4,0,0,0,7,0,4,6,18,17,50,23,77,1.54,0.77
MethodCollection2,mult,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
MethodCollection2,mult,5,4,22,3,13,1,2,0,0,1,2,0,0,1,13,6,35,10,52,1.4857142857142858,0.84
MethodCollection2,mult,6,1,8,1,3,0,1,0,0,0,2,1,3,3,5,2,13,6,22,1.6923076923076923,0.79
MethodCollection2,mult,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
MethodCollection2,mult,8,1,11,2,9,0,2,0,0,0,3,0,0,2,2,1,10,5,27,2.7,0.84
MethodCollection2,mult,9,1,10,1,10,0,2,0,0,0,3,0,0,1,4,3,10,3,29,2.9,0.91
MethodCollection2,mult,10,0,3,1,3,0,1,0,0,1,0,0,0,0,2,2,12,2,9,0.75,0.82
MethodCollection2,mult,11,2,12,0,4,0,1,0,0,1,0,0,4,2,12,2,20,5,33,1.65,0.87
MethodCollection2,mult,12,0,10,3,1,0,1,0,0,0,1,0,4,0,8,2,14,3,25,1.7857142857142858,0.89
MethodCollection2,mult,13,0,7,1,3,0,1,0,0,0,1,0,4,3,5,2,13,4,21,1.6153846153846154,0.84
MethodCollection2,mult,14,0,12,1,3,1,0,0,0,0,2,0,4,0,7,3,9,2,28,3.111111111111111,0.93
MethodCollection2,mult,15,0,12,0,11,0,2,0,0,0,4,0,0,0,5,4,8,0,34,4.25,1.00
MethodCollection2,mult,16,4,23,1,10,1,1,0,0,1,2,0,0,4,22,8,18,11,58,3.2222222222222223,0.84
MethodCollection2,mult,17,6,61,1,7,0,2,0,0,2,2,0,0,6,24,6,21,15,96,4.571428571428571,0.86
MethodCollection2,mult,18,4,13,2,14,0,3,0,0,0,4,0,0,2,12,10,30,8,46,1.5333333333333334,0.85
MethodCollection2,mult,19,3,7,1,3,0,1,0,0,2,1,1,1,2,4,3,10,9,17,1.7,0.65
MethodCollection2,mult,20,0,15,2,2,1,0,0,0,0,3,0,2,3,7,3,15,6,29,1.9333333333333333,0.83
MethodCollection2,mult,21,12,43,5,18,0,4,0,0,0,6,0,0,3,34,11,47,20,105,2.234042553191489,0.84
MethodCollection2,mult,22,0,3,0,5,0,1,0,0,0,1,0,0,1,3,0,14,1,13,0.9285714285714286,0.93
MethodCollection2,mult,23,6,16,0,4,1,0,0,0,0,1,1,7,2,12,3,19,10,40,2.1052631578947367,0.80
MethodCollection2,mult,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
MethodCollection2,mult,25,2,19,5,13,1,2,0,0,0,5,0,0,1,7,3,19,9,46,2.4210526315789473,0.84
MethodCollection2,mult,26,0,8,1,10,1,1,0,0,0,1,0,0,1,4,5,22,3,24,1.0909090909090908,0.89
MethodCollection2,mult,27,0,7,1,10,0,2,0,0,0,1,0,0,2,3,5,23,3,23,1.0,0.88
MethodCollection2,mult,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
MethodCollection2,mult,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
MethodCollection2,mult,30,1,5,0,11,1,1,0,0,0,2,0,0,2,4,3,11,4,23,2.090909090909091,0.85
MethodCollection2,mult,1,0,5,0,4,0,1,0,0,0,2,0,2,0,4,3,10,0,18,1.8,1.00
MethodCollection2,mult,2,4,24,2,14,1,2,0,0,0,5,0,0,4,14,6,33,11,59,1.7878787878787878,0.84
MethodCollection2,mult,3,5,37,4,16,0,4,0,0,0,9,1,5,0,25,16,45,10,96,2.1333333333333333,0.91
MethodCollection2,mult,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
