class,mr,run,AO_live,AO_killed,RO_live,RO_killed,CO_live,CO_killed,SO_live,SO_killed,LO_live,LO_killed,AS_live,AS_killed,DL_live,DL_killed,total_timeouts,total_exceptions,total_live,total_killed,error_score,mutant_score
MethodCollection2,perm,1,2,11,0,5,0,1,0,0,0,4,0,4,0,6,0,0,2,31,Infinity,0.94
MethodCollection2,perm,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
MethodCollection2,perm,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
MethodCollection2,perm,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
MethodCollection2,perm,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Infinity,1.00
MethodCollection2,perm,6,7,100,1,32,0,6,0,0,0,2,0,0,1,32,0,0,9,172,Infinity,0.95
MethodCollection2,perm,7,1,16,0,5,0,0,0,0,0,0,0,0,0,8,0,0,1,29,Infinity,0.97
MethodCollection2,perm,8,2,27,0,0,0,0,0,0,0,0,0,8,1,15,0,0,3,50,Infinity,0.94
MethodCollection2,perm,9,8,76,1,11,0,4,0,0,0,11,0,0,3,23,0,0,12,125,Infinity,0.91
MethodCollection2,perm,10,0,2,2,11,0,2,0,0,1,5,0,0,0,6,0,0,3,26,Infinity,0.90
MethodCollection2,perm,11,2,22,3,15,0,1,0,0,2,4,0,0,0,9,0,0,7,51,Infinity,0.88
MethodCollection2,perm,12,0,19,0,0,0,0,0,0,0,0,0,0,1,10,0,0,1,29,Infinity,0.97
MethodCollection2,perm,13,2,56,0,13,1,3,0,0,1,19,0,0,1,39,0,0,5,130,Infinity,0.96
MethodCollection2,perm,14,0,2,0,5,0,0,0,0,0,1,0,0,0,5,0,0,0,13,Infinity,1.00
MethodCollection2,perm,15,0,1,0,5,0,1,0,0,0,2,0,0,1,10,0,0,1,19,Infinity,0.95
MethodCollection2,perm,16,0,8,1,10,0,1,0,0,0,0,0,0,1,12,0,0,2,31,Infinity,0.94
MethodCollection2,perm,17,1,16,0,7,0,2,0,0,0,1,0,0,0,5,0,0,1,31,Infinity,0.97
MethodCollection2,perm,18,0,4,3,16,0,1,0,0,0,10,0,0,0,4,0,0,3,35,Infinity,0.92
MethodCollection2,perm,19,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,Infinity,1.00
MethodCollection2,perm,1,0,5,4,0,1,0,0,0,1,1,1,1,2,2,3,10,9,9,0.9,0.50
MethodCollection2,perm,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
MethodCollection2,perm,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
MethodCollection2,perm,4,9,1,8,3,1,1,0,0,0,3,0,0,5,2,1,7,23,10,1.4285714285714286,0.30
MethodCollection2,perm,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
MethodCollection2,perm,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
MethodCollection2,perm,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
MethodCollection2,perm,8,10,2,6,5,1,1,0,0,3,0,0,0,3,1,1,10,23,9,0.9,0.28
MethodCollection2,perm,9,5,6,4,7,1,1,0,0,0,3,0,0,1,4,3,10,11,21,2.1,0.66
MethodCollection2,perm,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
MethodCollection2,perm,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
MethodCollection2,perm,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
MethodCollection2,perm,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
MethodCollection2,perm,14,4,8,2,2,1,0,0,0,0,2,1,3,4,3,3,9,12,18,2.0,0.60
