class,mr,run,AO_live,AO_killed,RO_live,RO_killed,CO_live,CO_killed,SO_live,SO_killed,LO_live,LO_killed,AS_live,AS_killed,DL_live,DL_killed,total_timeouts,total_exceptions,total_live,total_killed,error_score,mutant_score
MethodsFromApacheMath,add,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
MethodsFromApacheMath,add,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
MethodsFromApacheMath,add,3,0,3,4,3,0,1,0,0,0,1,2,2,1,3,3,18,7,13,0.7222222222222222,0.65
MethodsFromApacheMath,add,4,1,2,1,6,0,1,0,0,0,1,1,3,1,3,3,18,4,16,0.8888888888888888,0.80
MethodsFromApacheMath,add,5,1,1,4,3,1,0,0,0,1,0,1,3,1,3,3,19,9,10,0.5263157894736842,0.53
MethodsFromApacheMath,add,6,173,180,34,33,7,6,0,0,0,2,4,8,53,71,3,8,271,300,37.5,0.53
MethodsFromApacheMath,add,7,5,7,3,1,0,1,0,0,1,0,0,0,2,4,3,12,11,13,1.0833333333333333,0.54
MethodsFromApacheMath,add,8,4,20,8,7,2,1,0,0,0,2,5,3,2,14,6,21,21,47,2.238095238095238,0.69
MethodsFromApacheMath,add,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
MethodsFromApacheMath,add,10,2,2,3,4,1,0,0,0,0,2,0,0,1,3,3,20,7,11,0.55,0.61
MethodsFromApacheMath,add,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
MethodsFromApacheMath,add,12,11,15,1,3,0,1,0,0,1,0,0,0,4,8,5,14,17,27,1.9285714285714286,0.61
MethodsFromApacheMath,add,13,49,48,8,15,0,5,0,0,1,4,4,4,34,39,9,117,96,115,0.9829059829059829,0.55
MethodsFromApacheMath,add,14,12,14,1,4,1,0,0,0,1,0,0,0,2,14,8,10,17,32,3.2,0.65
MethodsFromApacheMath,add,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
MethodsFromApacheMath,add,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
MethodsFromApacheMath,add,17,1,1,0,1,0,0,0,0,0,0,0,0,0,0,27,41,1,2,0.04878048780487805,0.67
MethodsFromApacheMath,add,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
MethodsFromApacheMath,add,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
MethodsFromApacheMath,add,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
