class,mr,run,AO_live,AO_killed,RO_live,RO_killed,CO_live,CO_killed,SO_live,SO_killed,LO_live,LO_killed,AS_live,AS_killed,DL_live,DL_killed,total_timeouts,total_exceptions,total_live,total_killed,error_score,mutant_score
ApacheMath,aggregate,1,2,7,0,4,0,1,0,0,0,1,0,4,1,7,3,15,3,24,1.6,0.89
ApacheMath,aggregate,2,0,14,1,3,0,1,0,0,0,1,0,0,0,7,3,15,1,26,1.7333333333333334,0.96
ApacheMath,aggregate,3,0,3,3,4,0,1,0,0,0,1,0,4,1,3,3,18,4,16,0.8888888888888888,0.80
ApacheMath,aggregate,4,0,3,0,7,0,1,0,0,0,1,1,3,1,3,3,18,2,18,1.0,0.90
ApacheMath,aggregate,5,0,2,0,7,1,0,0,0,0,1,1,3,0,4,3,19,2,17,0.8947368421052632,0.89
ApacheMath,aggregate,6,55,298,7,60,1,12,0,0,0,2,2,10,10,114,3,8,75,496,62.0,0.87
ApacheMath,aggregate,7,1,11,0,4,0,1,0,0,1,0,0,0,1,5,3,12,3,21,1.75,0.88
ApacheMath,aggregate,8,1,23,2,13,0,3,0,0,0,2,4,4,0,16,6,21,7,61,2.9047619047619047,0.90
ApacheMath,aggregate,9,11,66,3,12,1,3,0,0,0,4,2,10,4,33,6,31,21,128,4.129032258064516,0.86
ApacheMath,aggregate,10,1,3,1,6,0,1,0,0,0,2,0,0,1,3,3,20,3,15,0.75,0.83
ApacheMath,aggregate,11,2,16,3,15,2,4,0,0,1,0,0,4,0,16,3,26,8,55,2.1153846153846154,0.87
ApacheMath,aggregate,12,6,20,0,4,0,1,0,0,0,1,0,0,0,12,5,14,6,38,2.7142857142857144,0.86
ApacheMath,aggregate,13,11,86,5,18,0,5,0,0,0,5,2,6,8,65,9,117,26,185,1.5811965811965811,0.88
ApacheMath,aggregate,14,2,24,0,5,0,1,0,0,0,1,0,0,0,16,8,13,2,47,3.6153846153846154,0.96
ApacheMath,aggregate,15,3,14,1,3,0,1,0,0,1,1,2,2,1,10,3,13,8,31,2.3846153846153846,0.79
ApacheMath,aggregate,16,11,76,5,10,3,1,0,0,0,5,2,14,11,42,6,37,32,148,4.0,0.82
ApacheMath,aggregate,17,0,2,0,1,0,0,0,0,0,0,0,0,0,0,27,185,0,3,0.016216216216216217,1.00
ApacheMath,aggregate,18,0,4,0,3,0,1,0,0,0,2,0,0,0,5,8,26,0,15,0.5769230769230769,1.00
ApacheMath,aggregate,1,2,7,0,4,0,1,0,0,0,1,0,4,1,7,3,15,3,24,1.6,0.89
ApacheMath,aggregate,2,0,14,1,3,0,1,0,0,0,1,0,0,0,7,3,15,1,26,1.7333333333333334,0.96
ApacheMath,aggregate,3,0,3,3,4,0,1,0,0,0,1,0,4,1,3,3,18,4,16,0.8888888888888888,0.80
ApacheMath,aggregate,4,0,3,0,7,0,1,0,0,0,1,1,3,1,3,3,18,2,18,1.0,0.90
ApacheMath,aggregate,5,0,2,0,7,1,0,0,0,0,1,1,3,0,4,3,19,2,17,0.8947368421052632,0.89
ApacheMath,aggregate,6,55,298,7,60,1,12,0,0,0,2,2,10,10,114,3,8,75,496,62.0,0.87
ApacheMath,aggregate,7,1,11,0,4,0,1,0,0,1,0,0,0,1,5,3,12,3,21,1.75,0.88
ApacheMath,aggregate,8,1,23,2,13,0,3,0,0,0,2,4,4,0,16,6,21,7,61,2.9047619047619047,0.90
ApacheMath,aggregate,9,11,66,3,12,1,3,0,0,0,4,2,10,4,33,6,31,21,128,4.129032258064516,0.86
ApacheMath,aggregate,10,1,3,1,6,0,1,0,0,0,2,0,0,1,3,3,20,3,15,0.75,0.83
ApacheMath,aggregate,11,2,16,3,15,2,4,0,0,1,0,0,4,0,16,3,26,8,55,2.1153846153846154,0.87
ApacheMath,aggregate,12,6,20,0,4,0,1,0,0,0,1,0,0,0,12,5,14,6,38,2.7142857142857144,0.86
ApacheMath,aggregate,13,11,86,5,18,0,5,0,0,0,5,2,6,8,65,9,117,26,185,1.5811965811965811,0.88
ApacheMath,aggregate,14,2,24,0,5,0,1,0,0,0,1,0,0,0,16,8,13,2,47,3.6153846153846154,0.96
ApacheMath,aggregate,15,3,14,1,3,0,1,0,0,1,1,2,2,1,10,3,13,8,31,2.3846153846153846,0.79
ApacheMath,aggregate,16,11,76,5,10,3,1,0,0,0,5,2,14,11,42,6,37,32,148,4.0,0.82
ApacheMath,aggregate,17,0,2,0,1,0,0,0,0,0,0,0,0,0,0,27,185,0,3,0.016216216216216217,1.00
ApacheMath,aggregate,18,0,4,0,3,0,1,0,0,0,2,0,0,0,5,8,26,0,15,0.5769230769230769,1.00
ApacheMath,aggregate,1,2,7,0,4,0,1,0,0,0,1,0,4,1,7,3,15,3,24,1.6,0.89
ApacheMath,aggregate,2,0,14,1,3,0,1,0,0,0,1,0,0,0,7,3,15,1,26,1.7333333333333334,0.96
ApacheMath,aggregate,3,0,3,3,4,0,1,0,0,0,1,0,4,1,3,3,18,4,16,0.8888888888888888,0.80
ApacheMath,aggregate,4,0,3,0,7,0,1,0,0,0,1,1,3,1,3,3,18,2,18,1.0,0.90
