class,mr,run,AO_live,AO_killed,RO_live,RO_killed,CO_live,CO_killed,SO_live,SO_killed,LO_live,LO_killed,AS_live,AS_killed,DL_live,DL_killed,total_timeouts,total_exceptions,total_live,total_killed,error_score,mutant_score
MethodsFromApacheMath,all,1,2,7,0,4,0,1,0,0,0,1,0,4,1,7,3,0,3,24,Infinity,0.89
MethodsFromApacheMath,all,2,0,14,1,3,0,1,0,0,0,1,0,0,0,7,3,0,1,26,Infinity,0.96
MethodsFromApacheMath,all,3,0,3,3,4,0,1,0,0,0,1,0,4,1,3,3,0,4,16,Infinity,0.80
MethodsFromApacheMath,all,4,0,3,0,7,0,1,0,0,0,1,1,3,1,3,3,0,2,18,Infinity,0.90
MethodsFromApacheMath,all,5,0,2,0,7,1,0,0,0,0,1,1,3,0,4,3,0,2,17,Infinity,0.89
MethodsFromApacheMath,all,6,55,298,7,60,1,12,0,0,0,2,2,10,10,114,3,0,75,496,Infinity,0.87
MethodsFromApacheMath,all,7,1,11,0,4,0,1,0,0,1,0,0,0,1,5,3,0,3,21,Infinity,0.88
MethodsFromApacheMath,all,8,1,23,2,13,0,3,0,0,0,2,4,4,0,16,6,0,7,61,Infinity,0.90
MethodsFromApacheMath,all,9,11,66,3,12,1,3,0,0,0,4,2,10,4,33,6,0,21,128,Infinity,0.86
MethodsFromApacheMath,all,10,1,3,1,6,0,1,0,0,0,2,0,0,1,3,3,0,3,15,Infinity,0.83
MethodsFromApacheMath,all,11,2,16,3,15,2,4,0,0,1,0,0,4,0,16,3,0,8,55,Infinity,0.87
MethodsFromApacheMath,all,12,6,20,0,4,0,1,0,0,0,1,0,0,0,12,5,0,6,38,Infinity,0.86
MethodsFromApacheMath,all,13,11,86,5,18,0,5,0,0,0,5,2,6,8,65,9,0,26,185,Infinity,0.88
MethodsFromApacheMath,all,14,2,24,0,5,0,1,0,0,0,1,0,0,0,16,8,0,2,47,Infinity,0.96
MethodsFromApacheMath,all,15,3,14,1,3,0,1,0,0,1,1,2,2,1,10,3,0,8,31,Infinity,0.79
MethodsFromApacheMath,all,16,11,76,5,10,3,1,0,0,0,5,2,14,11,42,6,0,32,148,Infinity,0.82
MethodsFromApacheMath,all,17,0,2,0,1,0,0,0,0,0,0,0,0,0,0,27,0,0,3,Infinity,1.00
MethodsFromApacheMath,all,18,0,4,0,3,0,1,0,0,0,2,0,0,0,5,8,0,0,15,Infinity,1.00
MethodsFromApacheMath,all,1,1,8,0,4,0,1,0,0,0,1,0,4,1,7,3,0,2,25,Infinity,0.93
MethodsFromApacheMath,all,2,3,11,0,4,0,1,0,0,0,1,0,0,3,4,3,0,6,21,Infinity,0.78
MethodsFromApacheMath,all,3,0,2,1,6,0,1,0,0,1,0,0,4,1,3,3,0,3,16,Infinity,0.84
MethodsFromApacheMath,all,4,0,4,2,5,0,1,0,0,0,1,0,4,0,4,3,0,2,19,Infinity,0.90
MethodsFromApacheMath,all,5,0,2,2,5,1,0,0,0,0,1,0,4,1,3,3,0,4,15,Infinity,0.79
MethodsFromApacheMath,all,6,49,305,9,58,3,10,0,0,0,2,1,11,16,108,3,0,78,494,Infinity,0.86
MethodsFromApacheMath,all,7,0,12,1,3,0,1,0,0,0,1,0,0,0,6,3,0,1,23,Infinity,0.96
MethodsFromApacheMath,all,8,0,23,4,11,0,3,0,0,0,2,3,5,0,16,6,0,7,60,Infinity,0.90
MethodsFromApacheMath,all,9,14,60,3,12,0,4,0,0,0,4,2,10,4,33,6,0,23,123,Infinity,0.84
MethodsFromApacheMath,all,10,0,3,1,6,1,0,0,0,1,1,0,0,2,2,3,0,5,12,Infinity,0.71
MethodsFromApacheMath,all,11,3,15,3,15,3,3,0,0,1,0,1,3,3,13,3,0,14,49,Infinity,0.78
MethodsFromApacheMath,all,12,5,21,0,5,0,1,0,0,0,1,0,0,2,9,5,0,7,37,Infinity,0.84
MethodsFromApacheMath,all,13,9,89,1,22,0,4,0,0,1,4,0,8,8,65,9,0,19,192,Infinity,0.91
MethodsFromApacheMath,all,14,5,21,0,5,0,1,0,0,0,1,0,0,0,16,8,0,5,44,Infinity,0.90
MethodsFromApacheMath,all,15,0,17,0,4,0,1,0,0,0,2,0,4,1,10,3,0,1,38,Infinity,0.97
MethodsFromApacheMath,all,16,11,76,5,10,0,4,0,0,2,3,3,13,9,44,6,0,30,150,Infinity,0.83
MethodsFromApacheMath,all,17,0,1,0,1,0,0,0,0,0,0,0,0,0,0,28,0,0,2,Infinity,1.00
MethodsFromApacheMath,all,18,0,4,0,3,0,1,0,0,0,2,0,0,0,4,8,0,0,14,Infinity,1.00
MethodsFromApacheMath,all,1,0,9,1,3,1,0,0,0,0,1,0,4,0,8,3,0,2,25,Infinity,0.93
MethodsFromApacheMath,all,2,0,14,1,3,0,1,0,0,0,1,0,0,0,7,3,0,1,26,Infinity,0.96
MethodsFromApacheMath,all,3,1,1,1,6,1,0,0,0,0,1,0,4,2,2,3,0,5,14,Infinity,0.74
MethodsFromApacheMath,all,4,0,3,0,7,0,1,0,0,0,1,0,4,0,4,3,0,0,20,Infinity,1.00
MethodsFromApacheMath,all,5,0,3,0,7,0,1,0,0,0,1,0,4,1,3,3,0,1,19,Infinity,0.95
MethodsFromApacheMath,all,6,15,338,5,62,2,11,0,0,0,2,0,12,8,116,3,0,30,541,Infinity,0.95
MethodsFromApacheMath,all,7,1,12,0,4,0,1,0,0,0,1,0,0,1,5,3,0,2,23,Infinity,0.92
MethodsFromApacheMath,all,8,1,22,3,12,0,3,0,0,0,2,1,7,0,16,6,0,5,62,Infinity,0.93
MethodsFromApacheMath,all,9,10,65,0,15,1,3,0,0,0,4,1,11,5,32,6,0,17,130,Infinity,0.88
MethodsFromApacheMath,all,10,1,2,1,6,0,1,0,0,0,2,0,0,1,3,3,0,3,14,Infinity,0.82
MethodsFromApacheMath,all,11,0,18,3,15,0,6,0,0,0,1,0,4,1,15,3,0,4,59,Infinity,0.94
MethodsFromApacheMath,all,12,0,26,0,5,0,1,0,0,0,1,0,0,0,12,5,0,0,45,Infinity,1.00
MethodsFromApacheMath,all,13,9,84,3,21,1,3,0,0,1,4,0,8,10,63,9,0,24,183,Infinity,0.88
MethodsFromApacheMath,all,14,3,23,0,5,0,1,0,0,0,1,0,0,1,15,8,0,4,45,Infinity,0.92
MethodsFromApacheMath,all,15,0,16,0,4,0,1,0,0,0,2,0,4,0,11,3,0,0,38,Infinity,1.00
MethodsFromApacheMath,all,16,4,83,1,14,0,4,0,0,0,5,1,15,5,48,6,0,11,169,Infinity,0.94
MethodsFromApacheMath,all,17,0,1,0,0,0,0,0,0,0,1,0,0,0,1,26,0,0,3,Infinity,1.00
MethodsFromApacheMath,all,18,0,3,0,3,0,1,0,0,0,2,0,0,0,5,8,0,0,14,Infinity,1.00
MethodsFromApacheMath,all,1,0,9,0,4,0,1,0,0,0,1,0,4,0,8,3,0,0,27,Infinity,1.00
MethodsFromApacheMath,all,2,0,14,0,4,0,1,0,0,0,1,0,0,0,7,3,0,0,27,Infinity,1.00
MethodsFromApacheMath,all,3,0,2,0,7,0,1,0,0,0,1,0,4,0,4,3,0,0,19,Infinity,1.00
MethodsFromApacheMath,all,4,1,2,0,7,0,1,0,0,0,1,0,4,0,4,3,0,1,19,Infinity,0.95
MethodsFromApacheMath,all,5,0,2,0,7,0,1,0,0,0,1,0,4,0,4,3,0,0,19,Infinity,1.00
MethodsFromApacheMath,all,6,5,349,3,64,0,13,0,0,0,2,1,11,2,122,3,0,11,561,Infinity,0.98
MethodsFromApacheMath,all,7,0,13,0,4,0,1,0,0,0,1,0,0,0,6,3,0,0,25,Infinity,1.00
MethodsFromApacheMath,all,8,4,20,0,15,0,3,0,0,0,2,0,8,0,16,6,0,4,64,Infinity,0.94
MethodsFromApacheMath,all,9,0,74,0,15,0,4,0,0,0,4,0,12,1,36,6,0,1,145,Infinity,0.99
MethodsFromApacheMath,all,10,0,4,0,7,0,1,0,0,0,2,0,0,0,4,3,0,0,18,Infinity,1.00
MethodsFromApacheMath,all,11,0,18,1,17,0,6,0,0,0,1,0,4,0,16,3,0,1,62,Infinity,0.98
MethodsFromApacheMath,all,12,0,26,0,4,0,1,0,0,0,1,0,0,0,12,5,0,0,44,Infinity,1.00
MethodsFromApacheMath,all,13,2,94,0,23,0,5,0,0,0,6,0,8,0,73,9,0,2,209,Infinity,0.99
MethodsFromApacheMath,all,14,1,25,0,5,0,1,0,0,0,1,0,0,0,16,8,0,1,48,Infinity,0.98
MethodsFromApacheMath,all,15,1,17,0,4,0,1,0,0,0,2,0,4,0,11,3,0,1,39,Infinity,0.97
MethodsFromApacheMath,all,16,3,84,0,15,0,4,0,0,0,5,0,16,0,53,6,0,3,177,Infinity,0.98
MethodsFromApacheMath,all,17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,1,Infinity,1.00
MethodsFromApacheMath,all,18,0,3,0,3,0,1,0,0,0,2,0,0,0,5,8,0,0,14,Infinity,1.00
MethodsFromApacheMath,all,1,1,8,0,4,0,1,0,0,0,1,0,4,3,5,3,0,4,23,Infinity,0.85
MethodsFromApacheMath,all,2,2,12,0,4,0,1,0,0,0,1,0,0,1,6,3,0,3,24,Infinity,0.89
MethodsFromApacheMath,all,3,1,2,4,3,1,0,0,0,0,1,1,3,0,4,3,0,7,13,Infinity,0.65
MethodsFromApacheMath,all,4,0,4,0,7,0,1,0,0,0,1,0,4,0,4,3,0,0,21,Infinity,1.00
