class,mr,run,AO_live,AO_killed,RO_live,RO_killed,CO_live,CO_killed,SO_live,SO_killed,LO_live,LO_killed,AS_live,AS_killed,DL_live,DL_killed,total_timeouts,total_exceptions,total_live,total_killed,error_score,mutant_score
MethodsFromApacheMath,exc,1,6,3,2,2,0,1,0,0,0,1,0,4,4,4,3,15,12,15,1.0,0.56
MethodsFromApacheMath,exc,2,8,6,1,3,1,0,0,0,0,1,0,0,4,3,3,15,14,13,0.8666666666666667,0.48
MethodsFromApacheMath,exc,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
MethodsFromApacheMath,exc,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
MethodsFromApacheMath,exc,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
MethodsFromApacheMath,exc,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
MethodsFromApacheMath,exc,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
MethodsFromApacheMath,exc,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
MethodsFromApacheMath,exc,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
MethodsFromApacheMath,exc,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
MethodsFromApacheMath,exc,11,5,13,10,8,2,4,0,0,1,0,1,3,8,8,3,26,27,36,1.3846153846153846,0.57
MethodsFromApacheMath,exc,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
MethodsFromApacheMath,exc,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
MethodsFromApacheMath,exc,14,6,20,2,3,0,1,0,0,1,0,0,0,2,14,8,13,11,38,2.923076923076923,0.78
MethodsFromApacheMath,exc,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
MethodsFromApacheMath,exc,16,34,53,14,1,4,0,0,0,3,2,11,5,33,20,6,37,99,81,2.189189189189189,0.45
MethodsFromApacheMath,exc,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
MethodsFromApacheMath,exc,18,1,3,2,1,0,1,0,0,1,1,0,0,2,3,8,7,6,9,1.2857142857142858,0.60
MethodsFromApacheMath,exc,1,6,3,2,2,0,1,0,0,0,1,0,4,4,4,3,15,12,15,1.0,0.56
MethodsFromApacheMath,exc,2,8,6,1,3,1,0,0,0,0,1,0,0,4,3,3,15,14,13,0.8666666666666667,0.48
