class,mr,run,AO_live,AO_killed,RO_live,RO_killed,CO_live,CO_killed,SO_live,SO_killed,LO_live,LO_killed,AS_live,AS_killed,DL_live,DL_killed,total_timeouts,total_exceptions,total_live,total_killed,error_score,mutant_score
MethodsFromApacheMath,inc,1,7,2,4,0,0,1,0,0,0,1,1,3,5,3,3,15,17,10,0.6666666666666666,0.37
MethodsFromApacheMath,inc,2,10,4,3,1,1,0,0,0,0,1,0,0,5,2,3,15,19,8,0.5333333333333333,0.30
MethodsFromApacheMath,inc,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
MethodsFromApacheMath,inc,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
MethodsFromApacheMath,inc,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
MethodsFromApacheMath,inc,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
MethodsFromApacheMath,inc,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
MethodsFromApacheMath,inc,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
MethodsFromApacheMath,inc,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
MethodsFromApacheMath,inc,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
MethodsFromApacheMath,inc,11,8,10,13,5,3,3,0,0,1,0,2,2,11,5,3,26,38,25,0.9615384615384616,0.40
MethodsFromApacheMath,inc,12,13,13,2,2,0,1,0,0,1,0,0,0,5,7,5,14,21,23,1.6428571428571428,0.52
MethodsFromApacheMath,inc,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
MethodsFromApacheMath,inc,14,13,13,3,2,0,1,0,0,0,1,0,0,2,14,8,13,18,31,2.3846153846153846,0.63
MethodsFromApacheMath,inc,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
MethodsFromApacheMath,inc,16,43,44,14,1,4,0,0,0,4,1,11,5,34,19,6,37,110,70,1.8918918918918919,0.39
MethodsFromApacheMath,inc,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
MethodsFromApacheMath,inc,18,2,2,2,1,0,1,0,0,1,1,0,0,2,3,8,7,7,8,1.1428571428571428,0.53
MethodsFromApacheMath,inc,1,7,2,4,0,0,1,0,0,0,1,1,3,5,3,3,15,17,10,0.6666666666666666,0.37
MethodsFromApacheMath,inc,2,10,4,3,1,1,0,0,0,0,1,0,0,5,2,3,15,19,8,0.5333333333333333,0.30
MethodsFromApacheMath,inc,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
MethodsFromApacheMath,inc,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
MethodsFromApacheMath,inc,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
MethodsFromApacheMath,inc,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
MethodsFromApacheMath,inc,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
MethodsFromApacheMath,inc,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
MethodsFromApacheMath,inc,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
MethodsFromApacheMath,inc,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
MethodsFromApacheMath,inc,11,8,10,13,5,3,3,0,0,1,0,2,2,11,5,3,26,38,25,0.9615384615384616,0.40
MethodsFromApacheMath,inc,12,13,13,2,2,0,1,0,0,1,0,0,0,5,7,5,14,21,23,1.6428571428571428,0.52
MethodsFromApacheMath,inc,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
MethodsFromApacheMath,inc,14,13,13,3,2,0,1,0,0,0,1,0,0,2,14,8,13,18,31,2.3846153846153846,0.63
MethodsFromApacheMath,inc,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
MethodsFromApacheMath,inc,16,43,44,14,1,4,0,0,0,4,1,11,5,34,19,6,37,110,70,1.8918918918918919,0.39
MethodsFromApacheMath,inc,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
MethodsFromApacheMath,inc,18,2,2,2,1,0,1,0,0,1,1,0,0,2,3,8,7,7,8,1.1428571428571428,0.53
MethodsFromApacheMath,inc,1,6,3,2,2,1,0,0,0,1,0,3,1,3,5,3,15,16,11,0.7333333333333333,0.41
MethodsFromApacheMath,inc,2,9,5,2,2,0,1,0,0,1,0,0,0,6,1,3,15,18,9,0.6,0.33
MethodsFromApacheMath,inc,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
MethodsFromApacheMath,inc,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
MethodsFromApacheMath,inc,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
MethodsFromApacheMath,inc,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
MethodsFromApacheMath,inc,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
