class,mr,run,AO_live,AO_killed,RO_live,RO_killed,CO_live,CO_killed,SO_live,SO_killed,LO_live,LO_killed,AS_live,AS_killed,DL_live,DL_killed,total_timeouts,total_exceptions,total_live,total_killed,error_score,mutant_score
MethodsFromApacheMath,inv,1,0,9,0,4,0,1,0,0,0,1,0,4,1,7,3,15,1,26,1.7333333333333334,0.96
MethodsFromApacheMath,inv,2,1,13,2,2,0,1,0,0,0,1,0,0,0,7,3,13,3,24,1.8461538461538463,0.89
MethodsFromApacheMath,inv,3,0,3,0,7,0,1,0,0,0,1,0,4,1,3,3,18,1,19,1.0555555555555556,0.95
MethodsFromApacheMath,inv,4,2,1,1,6,0,1,0,0,0,1,0,4,0,4,3,18,3,17,0.9444444444444444,0.85
MethodsFromApacheMath,inv,5,0,2,1,6,0,1,0,0,0,1,1,3,0,4,3,19,2,17,0.8947368421052632,0.89
MethodsFromApacheMath,inv,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
MethodsFromApacheMath,inv,7,0,12,0,4,0,1,0,0,0,1,0,0,1,5,3,12,1,23,1.9166666666666667,0.96
MethodsFromApacheMath,inv,8,0,24,3,12,0,3,0,0,0,2,0,8,2,14,6,21,5,63,3.0,0.93
MethodsFromApacheMath,inv,9,4,73,3,12,0,4,0,0,1,3,1,11,3,34,6,31,12,137,4.419354838709677,0.92
MethodsFromApacheMath,inv,10,1,3,0,7,0,1,0,0,0,2,0,0,1,3,3,20,2,16,0.8,0.89
MethodsFromApacheMath,inv,11,1,17,4,14,1,5,0,0,1,0,0,4,1,15,3,22,8,55,2.5,0.87
MethodsFromApacheMath,inv,12,4,22,0,4,0,1,0,0,0,1,0,0,1,11,5,14,5,39,2.7857142857142856,0.89
MethodsFromApacheMath,inv,13,11,86,5,18,0,5,0,0,0,5,0,8,12,61,9,117,28,183,1.564102564102564,0.87
MethodsFromApacheMath,inv,14,2,24,1,4,0,1,0,0,0,1,0,0,2,14,8,10,5,44,4.4,0.90
MethodsFromApacheMath,inv,15,2,15,1,3,1,0,0,0,0,2,1,3,4,7,3,13,9,30,2.3076923076923075,0.77
MethodsFromApacheMath,inv,16,12,75,0,15,0,4,0,0,0,5,1,15,5,48,6,30,18,162,5.4,0.90
MethodsFromApacheMath,inv,17,0,2,1,0,0,0,0,0,0,0,0,0,0,0,27,34,1,2,0.058823529411764705,0.67
