class,mr,run,AO_live,AO_killed,RO_live,RO_killed,CO_live,CO_killed,SO_live,SO_killed,LO_live,LO_killed,AS_live,AS_killed,DL_live,DL_killed,total_timeouts,total_exceptions,total_live,total_killed,error_score,mutant_score
MethodsFromApacheMath,mult,1,2,7,0,4,0,1,0,0,0,1,0,4,0,8,3,15,2,25,1.6666666666666667,0.93
MethodsFromApacheMath,mult,2,0,14,1,3,0,1,0,0,0,1,0,0,0,7,3,13,1,26,2.0,0.96
MethodsFromApacheMath,mult,3,0,3,3,4,0,1,0,0,0,1,0,4,1,3,3,18,4,16,0.8888888888888888,0.80
MethodsFromApacheMath,mult,4,0,3,0,7,0,1,0,0,0,1,1,3,1,3,3,18,2,18,1.0,0.90
MethodsFromApacheMath,mult,5,0,2,0,7,1,0,0,0,0,1,1,3,0,4,3,19,2,17,0.8947368421052632,0.89
MethodsFromApacheMath,mult,6,54,299,6,61,1,12,0,0,0,2,2,10,10,114,3,8,73,498,62.25,0.87
MethodsFromApacheMath,mult,7,1,11,0,4,0,1,0,0,1,0,0,0,1,5,3,12,3,21,1.75,0.88
MethodsFromApacheMath,mult,8,2,22,2,13,0,3,0,0,0,2,3,5,0,16,6,21,7,61,2.9047619047619047,0.90
MethodsFromApacheMath,mult,9,11,66,3,12,1,3,0,0,0,4,2,10,4,33,6,31,21,128,4.129032258064516,0.86
MethodsFromApacheMath,mult,10,1,3,1,6,0,1,0,0,0,2,0,0,1,3,3,20,3,15,0.75,0.83
MethodsFromApacheMath,mult,11,2,16,3,15,2,4,0,0,0,1,0,4,0,16,3,22,7,56,2.5454545454545454,0.89
MethodsFromApacheMath,mult,12,6,20,0,4,0,1,0,0,0,1,0,0,0,12,5,14,6,38,2.7142857142857144,0.86
MethodsFromApacheMath,mult,13,10,87,5,18,0,5,0,0,0,5,2,6,8,65,9,117,25,186,1.5897435897435896,0.88
MethodsFromApacheMath,mult,14,2,24,0,5,0,1,0,0,0,1,0,0,0,16,8,10,2,47,4.7,0.96
MethodsFromApacheMath,mult,15,3,14,1,3,0,1,0,0,1,1,2,2,1,10,3,13,8,31,2.3846153846153846,0.79
MethodsFromApacheMath,mult,16,10,77,5,10,3,1,0,0,0,5,2,14,11,42,6,30,31,149,4.966666666666667,0.83
MethodsFromApacheMath,mult,17,0,2,0,1,0,0,0,0,0,0,0,0,0,0,27,185,0,3,0.016216216216216217,1.00
MethodsFromApacheMath,mult,18,0,4,0,3,0,1,0,0,0,2,0,0,0,5,8,26,0,15,0.5769230769230769,1.00
MethodsFromApacheMath,mult,1,2,7,0,4,0,1,0,0,0,1,0,4,0,8,3,15,2,25,1.6666666666666667,0.93
MethodsFromApacheMath,mult,2,0,14,1,3,0,1,0,0,0,1,0,0,0,7,3,13,1,26,2.0,0.96
MethodsFromApacheMath,mult,3,0,3,3,4,0,1,0,0,0,1,0,4,1,3,3,18,4,16,0.8888888888888888,0.80
MethodsFromApacheMath,mult,4,0,3,0,7,0,1,0,0,0,1,1,3,1,3,3,18,2,18,1.0,0.90
MethodsFromApacheMath,mult,5,0,2,0,7,1,0,0,0,0,1,1,3,0,4,3,19,2,17,0.8947368421052632,0.89
MethodsFromApacheMath,mult,6,54,299,6,61,1,12,0,0,0,2,2,10,10,114,3,8,73,498,62.25,0.87
MethodsFromApacheMath,mult,7,1,11,0,4,0,1,0,0,1,0,0,0,1,5,3,12,3,21,1.75,0.88
MethodsFromApacheMath,mult,8,2,22,2,13,0,3,0,0,0,2,3,5,0,16,6,21,7,61,2.9047619047619047,0.90
MethodsFromApacheMath,mult,9,11,66,3,12,1,3,0,0,0,4,2,10,4,33,6,31,21,128,4.129032258064516,0.86
MethodsFromApacheMath,mult,10,1,3,1,6,0,1,0,0,0,2,0,0,1,3,3,20,3,15,0.75,0.83
MethodsFromApacheMath,mult,11,2,16,3,15,2,4,0,0,0,1,0,4,0,16,3,22,7,56,2.5454545454545454,0.89
MethodsFromApacheMath,mult,12,6,20,0,4,0,1,0,0,0,1,0,0,0,12,5,14,6,38,2.7142857142857144,0.86
MethodsFromApacheMath,mult,13,10,87,5,18,0,5,0,0,0,5,2,6,8,65,9,117,25,186,1.5897435897435896,0.88
MethodsFromApacheMath,mult,14,2,24,0,5,0,1,0,0,0,1,0,0,0,16,8,10,2,47,4.7,0.96
MethodsFromApacheMath,mult,15,3,14,1,3,0,1,0,0,1,1,2,2,1,10,3,13,8,31,2.3846153846153846,0.79
MethodsFromApacheMath,mult,16,10,77,5,10,3,1,0,0,0,5,2,14,11,42,6,30,31,149,4.966666666666667,0.83
MethodsFromApacheMath,mult,17,0,2,0,1,0,0,0,0,0,0,0,0,0,0,27,185,0,3,0.016216216216216217,1.00
MethodsFromApacheMath,mult,18,0,4,0,3,0,1,0,0,0,2,0,0,0,5,8,26,0,15,0.5769230769230769,1.00
MethodsFromApacheMath,mult,1,1,8,0,4,0,1,0,0,0,1,0,4,1,7,3,15,2,25,1.6666666666666667,0.93
MethodsFromApacheMath,mult,2,3,11,0,4,0,1,0,0,0,1,0,0,3,4,3,14,6,21,1.5,0.78
MethodsFromApacheMath,mult,3,0,2,1,6,0,1,0,0,1,0,0,4,1,3,3,19,3,16,0.8421052631578947,0.84
MethodsFromApacheMath,mult,4,0,4,2,5,0,1,0,0,0,1,0,4,0,4,3,17,2,19,1.1176470588235294,0.90
MethodsFromApacheMath,mult,5,0,2,2,5,1,0,0,0,0,1,0,4,1,3,3,19,4,15,0.7894736842105263,0.79
MethodsFromApacheMath,mult,6,47,307,8,59,3,10,0,0,0,2,1,11,13,111,3,7,72,500,71.42857142857143,0.87
MethodsFromApacheMath,mult,7,0,12,1,3,0,1,0,0,0,1,0,0,0,6,3,12,1,23,1.9166666666666667,0.96
MethodsFromApacheMath,mult,8,0,23,4,11,0,3,0,0,0,2,2,6,1,15,6,22,7,60,2.727272727272727,0.90
MethodsFromApacheMath,mult,9,13,61,3,12,0,4,0,0,0,4,2,10,4,33,6,34,22,124,3.6470588235294117,0.85
MethodsFromApacheMath,mult,10,0,3,1,6,1,0,0,0,1,1,0,0,2,2,3,21,5,12,0.5714285714285714,0.71
MethodsFromApacheMath,mult,11,2,16,3,15,3,3,0,0,1,0,1,3,3,13,3,24,13,50,2.0833333333333335,0.79
MethodsFromApacheMath,mult,12,5,21,0,5,0,1,0,0,0,1,0,0,2,9,5,13,7,37,2.8461538461538463,0.84
MethodsFromApacheMath,mult,13,9,89,1,22,0,4,0,0,1,4,0,8,8,65,9,116,19,192,1.6551724137931034,0.91
MethodsFromApacheMath,mult,14,5,21,0,5,0,1,0,0,0,1,0,0,0,16,8,11,5,44,4.0,0.90
MethodsFromApacheMath,mult,15,0,17,0,4,0,1,0,0,0,2,0,4,1,10,3,13,1,38,2.923076923076923,0.97
MethodsFromApacheMath,mult,16,9,78,5,10,0,4,0,0,2,3,3,13,9,44,6,32,28,152,4.75,0.84
MethodsFromApacheMath,mult,17,0,1,0,1,0,0,0,0,0,0,0,0,0,0,28,184,0,2,0.010869565217391304,1.00
MethodsFromApacheMath,mult,18,0,4,0,3,0,1,0,0,0,2,0,0,0,4,8,27,0,14,0.5185185185185185,1.00
MethodsFromApacheMath,mult,1,0,9,1,3,1,0,0,0,0,1,1,3,1,7,3,13,4,23,1.7692307692307692,0.85
MethodsFromApacheMath,mult,2,0,14,1,3,0,1,0,0,0,1,0,0,0,7,3,11,1,26,2.3636363636363638,0.96
MethodsFromApacheMath,mult,3,1,1,1,6,1,0,0,0,0,1,0,4,2,2,3,19,5,14,0.7368421052631579,0.74
MethodsFromApacheMath,mult,4,0,3,0,7,0,1,0,0,0,1,0,4,0,4,3,18,0,20,1.1111111111111112,1.00
MethodsFromApacheMath,mult,5,0,3,0,7,0,1,0,0,0,1,0,4,1,3,3,18,1,19,1.0555555555555556,0.95
MethodsFromApacheMath,mult,6,18,335,6,61,2,11,0,0,0,2,0,12,10,114,3,8,36,535,66.875,0.94
MethodsFromApacheMath,mult,7,1,12,0,4,0,1,0,0,0,1,0,0,1,5,3,11,2,23,2.090909090909091,0.92
MethodsFromApacheMath,mult,8,1,22,3,12,0,3,0,0,0,2,2,6,0,16,6,22,6,61,2.772727272727273,0.91
MethodsFromApacheMath,mult,9,10,65,0,15,1,3,0,0,0,4,1,11,5,32,6,33,17,130,3.9393939393939394,0.88
MethodsFromApacheMath,mult,10,1,2,1,6,0,1,0,0,0,2,0,0,1,3,3,21,3,14,0.6666666666666666,0.82
MethodsFromApacheMath,mult,11,1,17,3,15,0,6,0,0,0,1,0,4,2,14,3,24,6,57,2.375,0.90
MethodsFromApacheMath,mult,12,0,26,0,5,0,1,0,0,0,1,0,0,0,12,5,12,0,45,3.75,1.00
MethodsFromApacheMath,mult,13,10,83,3,21,1,3,0,0,1,4,0,8,9,64,9,119,24,183,1.5378151260504203,0.88
MethodsFromApacheMath,mult,14,2,24,0,5,0,1,0,0,0,1,0,0,1,15,8,11,3,46,4.181818181818182,0.94
MethodsFromApacheMath,mult,15,0,16,0,4,0,1,0,0,0,2,0,4,0,11,3,14,0,38,2.7142857142857144,1.00
MethodsFromApacheMath,mult,16,6,81,1,14,0,4,0,0,0,5,1,15,5,48,6,32,13,167,5.21875,0.93
MethodsFromApacheMath,mult,17,0,1,0,0,0,0,0,0,0,1,0,0,0,1,26,185,0,3,0.016216216216216217,1.00
MethodsFromApacheMath,mult,18,0,3,0,3,0,1,0,0,0,2,0,0,0,5,8,27,0,14,0.5185185185185185,1.00
MethodsFromApacheMath,mult,1,0,9,0,4,0,1,0,0,0,1,0,4,0,8,3,14,0,27,1.9285714285714286,1.00
MethodsFromApacheMath,mult,2,0,14,0,4,0,1,0,0,0,1,0,0,0,7,3,12,0,27,2.25,1.00
MethodsFromApacheMath,mult,3,0,2,0,7,0,1,0,0,0,1,0,4,0,4,3,19,0,19,1.0,1.00
MethodsFromApacheMath,mult,4,1,2,0,7,0,1,0,0,0,1,0,4,0,4,3,18,1,19,1.0555555555555556,0.95
MethodsFromApacheMath,mult,5,0,2,0,7,0,1,0,0,0,1,0,4,0,4,3,19,0,19,1.0,1.00
MethodsFromApacheMath,mult,6,4,350,3,64,0,13,0,0,0,2,1,11,2,122,3,7,10,562,80.28571428571429,0.98
MethodsFromApacheMath,mult,7,0,13,0,4,0,1,0,0,0,1,0,0,0,6,3,11,0,25,2.272727272727273,1.00
MethodsFromApacheMath,mult,8,4,20,0,15,0,3,0,0,0,2,0,8,0,16,6,21,4,64,3.0476190476190474,0.94
MethodsFromApacheMath,mult,9,0,74,0,15,0,4,0,0,0,4,0,12,1,36,6,34,1,145,4.264705882352941,0.99
MethodsFromApacheMath,mult,10,0,4,0,7,0,1,0,0,0,2,0,0,0,4,3,20,0,18,0.9,1.00
MethodsFromApacheMath,mult,11,0,18,1,17,0,6,0,0,0,1,0,4,0,16,3,22,1,62,2.8181818181818183,0.98
MethodsFromApacheMath,mult,12,0,26,0,4,0,1,0,0,0,1,0,0,0,12,5,14,0,44,3.142857142857143,1.00
MethodsFromApacheMath,mult,13,2,94,0,23,0,5,0,0,0,6,0,8,0,73,9,117,2,209,1.7863247863247864,0.99
MethodsFromApacheMath,mult,14,1,25,0,5,0,1,0,0,0,1,0,0,0,16,8,9,1,48,5.333333333333333,0.98
MethodsFromApacheMath,mult,15,1,17,0,4,0,1,0,0,0,2,0,4,0,11,3,12,1,39,3.25,0.97
MethodsFromApacheMath,mult,16,3,84,0,15,0,4,0,0,0,5,0,16,0,53,6,32,3,177,5.53125,0.98
MethodsFromApacheMath,mult,17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,27,186,0,1,0.005376344086021506,1.00
MethodsFromApacheMath,mult,18,0,3,0,3,0,1,0,0,0,2,0,0,0,5,8,27,0,14,0.5185185185185185,1.00
MethodsFromApacheMath,mult,1,1,8,0,4,0,1,0,0,0,1,0,4,3,5,3,12,4,23,1.9166666666666667,0.85
