class,method,mr,run,AORB_live,AORB_killed,AORS_live,AORS_killed,AOIU_live,AOIU_killed,AOIS_live,AOIS_killed,AODU_live,AODU_killed,AODS_live,AODS_killed,ROR_live,ROR_killed,COR_live,COR_killed,COD_live,COD_killed,COI_live,COI_killed,SOR_live,SOR_killed,LOR_live,LOR_killed,LOI_live,LOI_killed,LOD_live,LOD_killed,ASRS_live,ASRS_killed,SDL_live,SDL_killed,VDL_live,VDL_killed,CDL_live,CDL_killed,ODL_live,ODL_killed,total_live,total_killed,mutant_score
MethodsFromColt,autoCorrelation,aggregate,1,4,24,0,1,0,6,5,35,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,1,7,0,0,0,4,2,2,3,8,0,0,1,14,16,107,0.87
MethodsFromColt,autoCorrelation,aggregate,2,4,24,0,1,0,6,4,36,0,0,0,0,1,4,0,0,0,0,0,1,0,0,0,0,1,7,0,0,0,4,0,4,0,11,0,0,0,15,10,113,0.92
MethodsFromColt,autoCorrelation,aggregate,3,4,24,0,1,2,4,6,34,0,0,0,0,1,4,0,0,0,0,0,1,0,0,0,0,0,8,0,0,0,4,1,3,0,11,0,0,4,11,18,105,0.85
MethodsFromColt,autoCorrelation,aggregate,4,10,18,1,0,1,5,7,33,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,1,7,0,0,0,4,2,2,0,11,0,0,2,13,24,99,0.80
MethodsFromColt,autoCorrelation,aggregate,5,5,23,1,0,1,5,5,35,0,0,0,0,2,3,0,0,0,0,0,1,0,0,0,0,1,7,0,0,1,3,0,4,1,10,0,0,5,10,22,101,0.82
MethodsFromColt,autoCorrelation,aggregate,6,0,28,0,1,0,6,0,40,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,8,0,0,0,4,0,4,0,11,0,0,0,15,0,123,1.00
MethodsFromColt,autoCorrelation,aggregate,7,3,25,0,1,1,5,9,31,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,1,7,0,0,1,3,0,4,0,11,0,0,3,12,18,105,0.85
MethodsFromColt,autoCorrelation,aggregate,8,3,25,0,1,0,6,5,35,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,1,7,0,0,0,4,0,4,2,9,0,0,3,12,14,109,0.89
MethodsFromColt,autoCorrelation,aggregate,9,6,22,0,1,0,6,9,31,0,0,0,0,1,4,0,0,0,0,0,1,0,0,0,0,1,7,0,0,0,4,0,4,1,10,0,0,2,13,20,103,0.84
MethodsFromColt,autoCorrelation,aggregate,10,2,26,0,1,3,3,3,37,0,0,0,0,1,4,0,0,0,0,0,1,0,0,0,0,1,7,0,0,1,3,2,2,3,8,0,0,0,15,16,107,0.87
