class,mr,run,AO_live,AO_killed,RO_live,RO_killed,CO_live,CO_killed,SO_live,SO_killed,LO_live,LO_killed,AS_live,AS_killed,DL_live,DL_killed,total_timeouts,total_exceptions,total_live,total_killed,error_score,mutant_score
MethodsFromColt,inv,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
MethodsFromColt,inv,2,4,53,3,14,1,2,0,0,0,9,0,0,1,16,0,0,9,94,Infinity,0.91
MethodsFromColt,inv,3,4,82,0,5,0,1,0,0,0,8,2,10,4,30,0,0,10,136,Infinity,0.93
MethodsFromColt,inv,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
MethodsFromColt,inv,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
MethodsFromColt,inv,6,1,25,0,12,0,2,0,0,0,4,0,0,0,9,0,0,1,52,Infinity,0.98
MethodsFromColt,inv,7,2,27,0,5,0,1,0,0,0,3,0,4,2,11,0,0,4,51,Infinity,0.93
MethodsFromColt,inv,8,1,25,2,10,1,1,0,0,0,4,0,0,1,8,0,0,5,48,Infinity,0.91
MethodsFromColt,inv,9,0,11,1,4,0,1,0,0,0,2,0,4,0,5,0,0,1,27,Infinity,0.96
MethodsFromColt,inv,10,5,89,0,14,1,1,0,0,0,9,0,0,5,32,0,0,11,145,Infinity,0.93
MethodsFromColt,inv,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
MethodsFromColt,inv,12,12,67,0,0,0,0,0,0,0,5,0,0,4,26,0,0,16,98,Infinity,0.86
MethodsFromColt,inv,13,4,43,0,5,0,1,0,0,0,3,0,4,2,18,0,0,6,74,Infinity,0.93
MethodsFromColt,inv,14,0,12,0,5,0,1,0,0,1,2,0,4,0,4,0,0,1,28,Infinity,0.97
MethodsFromColt,inv,15,1,37,0,5,0,1,0,0,0,3,1,7,3,12,0,0,5,65,Infinity,0.93
MethodsFromColt,inv,16,6,60,1,16,0,2,0,0,0,12,0,0,3,18,0,0,10,108,Infinity,0.92
