class,mr,run,AO_live,AO_killed,RO_live,RO_killed,CO_live,CO_killed,SO_live,SO_killed,LO_live,LO_killed,AS_live,AS_killed,DL_live,DL_killed,total_timeouts,total_exceptions,total_live,total_killed,error_score,mutant_score
MethodsFromColt,mult,1,12,62,2,3,1,0,0,0,1,7,0,4,3,25,0,0,19,101,Infinity,0.84
MethodsFromColt,mult,2,8,49,2,15,1,2,0,0,4,5,0,0,2,15,0,0,17,86,Infinity,0.83
MethodsFromColt,mult,3,11,75,1,4,0,1,0,0,1,7,3,9,6,28,0,0,22,124,Infinity,0.85
MethodsFromColt,mult,4,3,39,1,4,1,0,0,0,0,5,2,2,1,15,0,0,8,65,Infinity,0.89
MethodsFromColt,mult,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
MethodsFromColt,mult,6,2,24,1,11,1,1,0,0,0,4,0,0,0,9,0,0,4,49,Infinity,0.92
MethodsFromColt,mult,7,6,23,1,4,0,1,0,0,0,3,1,3,2,11,0,0,10,45,Infinity,0.82
MethodsFromColt,mult,8,1,25,2,10,1,1,0,0,0,4,0,0,0,9,0,0,4,49,Infinity,0.92
MethodsFromColt,mult,9,0,11,0,5,0,1,0,0,0,2,0,4,1,4,0,0,1,27,Infinity,0.96
MethodsFromColt,mult,10,16,78,3,11,0,2,0,0,1,8,0,0,3,34,0,0,23,133,Infinity,0.85
MethodsFromColt,mult,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
MethodsFromColt,mult,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
MethodsFromColt,mult,13,5,42,0,5,0,1,0,0,0,3,0,4,2,18,0,0,7,73,Infinity,0.91
MethodsFromColt,mult,14,0,12,1,4,0,1,0,0,0,3,0,4,0,4,0,0,1,28,Infinity,0.97
MethodsFromColt,mult,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
MethodsFromColt,mult,16,8,58,6,11,1,1,0,0,2,10,0,0,1,20,0,0,18,100,Infinity,0.85
MethodsFromColt,mult,17,16,90,2,13,1,2,0,0,3,14,3,9,7,34,0,0,32,162,Infinity,0.84
MethodsFromColt,mult,18,10,111,1,9,0,2,0,0,1,10,1,11,6,43,0,0,19,186,Infinity,0.91
MethodsFromColt,mult,19,4,62,1,9,0,2,0,0,0,12,0,8,4,21,0,0,9,114,Infinity,0.93
MethodsFromColt,mult,20,17,129,0,10,1,1,0,0,0,18,0,16,3,52,0,0,21,226,Infinity,0.91
MethodsFromColt,mult,21,3,25,0,5,0,1,0,0,0,3,0,0,0,10,0,0,3,44,Infinity,0.94
MethodsFromColt,mult,22,7,106,1,9,0,2,0,0,0,11,2,10,2,40,0,0,12,178,Infinity,0.94
MethodsFromColt,mult,23,15,67,1,9,0,2,0,0,1,10,1,7,2,28,0,0,20,123,Infinity,0.86
MethodsFromColt,mult,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
MethodsFromColt,mult,25,0,22,0,5,0,1,0,0,0,4,1,3,0,11,0,0,1,46,Infinity,0.98
MethodsFromColt,mult,26,2,21,2,3,0,1,0,0,0,4,1,3,1,7,0,0,6,39,Infinity,0.87
MethodsFromColt,mult,27,3,11,1,4,1,0,0,0,1,4,0,0,0,2,0,0,6,21,Infinity,0.78
MethodsFromColt,mult,28,1,17,2,3,0,1,0,0,0,5,0,0,0,6,0,0,3,32,Infinity,0.91
MethodsFromColt,mult,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
MethodsFromColt,mult,1,1,73,0,5,0,1,0,0,0,8,0,4,0,28,0,0,1,119,Infinity,0.99
MethodsFromColt,mult,2,1,57,0,16,0,3,0,0,0,8,0,0,0,14,0,0,1,98,Infinity,0.99
MethodsFromColt,mult,3,0,86,0,5,0,1,0,0,0,8,0,12,2,32,0,0,2,144,Infinity,0.99
MethodsFromColt,mult,4,0,42,0,5,0,1,0,0,0,5,0,4,1,15,0,0,1,72,Infinity,0.99
MethodsFromColt,mult,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
MethodsFromColt,mult,6,1,26,0,12,0,2,0,0,0,4,0,0,0,9,0,0,1,53,Infinity,0.98
MethodsFromColt,mult,7,0,29,0,5,0,1,0,0,0,3,0,4,0,13,0,0,0,55,Infinity,1.00
MethodsFromColt,mult,8,0,27,0,12,0,2,0,0,0,4,0,0,0,9,0,0,0,54,Infinity,1.00
MethodsFromColt,mult,9,1,10,1,4,0,1,0,0,1,1,1,3,0,5,0,0,4,24,Infinity,0.86
MethodsFromColt,mult,10,1,93,0,14,0,2,0,0,0,9,0,0,1,36,0,0,2,154,Infinity,0.99
MethodsFromColt,mult,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
MethodsFromColt,mult,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
MethodsFromColt,mult,13,0,47,0,5,0,1,0,0,0,3,0,4,0,20,0,0,0,80,Infinity,1.00
MethodsFromColt,mult,14,0,12,0,5,0,1,0,0,0,3,0,4,0,4,0,0,0,29,Infinity,1.00
MethodsFromColt,mult,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
MethodsFromColt,mult,16,0,65,1,16,0,2,0,0,0,12,0,0,0,22,0,0,1,117,Infinity,0.99
MethodsFromColt,mult,17,7,99,0,15,0,3,0,0,0,17,0,12,2,39,0,0,9,185,Infinity,0.95
MethodsFromColt,mult,18,2,119,1,9,0,2,0,0,0,11,0,12,1,48,0,0,4,201,Infinity,0.98
MethodsFromColt,mult,19,3,63,2,8,0,2,0,0,0,12,0,8,0,25,0,0,5,118,Infinity,0.96
MethodsFromColt,mult,20,1,145,0,10,0,2,0,0,0,18,0,16,3,52,0,0,4,243,Infinity,0.98
MethodsFromColt,mult,21,1,27,0,5,0,1,0,0,0,3,0,0,0,10,0,0,1,46,Infinity,0.98
MethodsFromColt,mult,22,0,113,0,10,0,2,0,0,0,11,1,11,1,41,0,0,2,188,Infinity,0.99
MethodsFromColt,mult,23,0,82,0,10,0,2,0,0,0,11,0,8,0,30,0,0,0,143,Infinity,1.00
MethodsFromColt,mult,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
MethodsFromColt,mult,25,0,22,0,5,0,1,0,0,0,4,0,4,0,11,0,0,0,47,Infinity,1.00
MethodsFromColt,mult,26,0,23,0,5,0,1,0,0,0,4,0,4,1,7,0,0,1,44,Infinity,0.98
MethodsFromColt,mult,27,1,13,0,5,0,1,0,0,0,5,0,0,0,2,0,0,1,26,Infinity,0.96
MethodsFromColt,mult,28,0,18,1,4,0,1,0,0,0,5,0,0,0,6,0,0,1,34,Infinity,0.97
MethodsFromColt,mult,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
MethodsFromColt,mult,1,1,73,0,5,0,1,0,0,0,8,0,4,1,27,0,0,2,118,Infinity,0.98
MethodsFromColt,mult,2,0,61,2,15,0,3,0,0,1,7,0,0,0,15,0,0,3,101,Infinity,0.97
MethodsFromColt,mult,3,1,85,0,5,0,1,0,0,0,8,0,12,0,34,0,0,1,145,Infinity,0.99
MethodsFromColt,mult,4,4,38,0,5,0,1,0,0,0,5,0,4,1,15,0,0,5,68,Infinity,0.93
MethodsFromColt,mult,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
MethodsFromColt,mult,6,1,25,0,12,0,2,0,0,0,4,0,0,0,9,0,0,1,52,Infinity,0.98
MethodsFromColt,mult,7,1,28,1,4,0,1,0,0,0,3,1,3,0,13,0,0,3,52,Infinity,0.95
MethodsFromColt,mult,8,0,26,0,12,0,2,0,0,0,4,0,0,0,9,0,0,0,53,Infinity,1.00
MethodsFromColt,mult,9,0,11,0,5,0,1,0,0,0,2,2,2,0,5,0,0,2,26,Infinity,0.93
MethodsFromColt,mult,10,2,92,0,14,0,2,0,0,0,9,0,0,1,36,0,0,3,153,Infinity,0.98
MethodsFromColt,mult,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
MethodsFromColt,mult,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
MethodsFromColt,mult,13,2,45,0,5,0,1,0,0,0,3,0,4,1,19,0,0,3,77,Infinity,0.96
MethodsFromColt,mult,14,0,12,0,5,0,1,0,0,0,3,0,4,1,3,0,0,1,28,Infinity,0.97
MethodsFromColt,mult,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
