class,mr,run,AO_live,AO_killed,RO_live,RO_killed,CO_live,CO_killed,SO_live,SO_killed,LO_live,LO_killed,AS_live,AS_killed,DL_live,DL_killed,total_timeouts,total_exceptions,total_live,total_killed,error_score,mutant_score
MethodsFromColt,perm,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
MethodsFromColt,perm,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
MethodsFromColt,perm,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
MethodsFromColt,perm,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
MethodsFromColt,perm,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
MethodsFromColt,perm,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
MethodsFromColt,perm,7,15,14,2,3,1,0,0,0,1,2,1,3,9,4,0,0,29,26,Infinity,0.47
MethodsFromColt,perm,8,5,21,6,6,1,1,0,0,0,4,0,0,2,7,0,0,14,39,Infinity,0.74
MethodsFromColt,perm,9,2,9,3,2,1,0,0,0,0,2,2,2,3,2,0,0,11,17,Infinity,0.61
MethodsFromColt,perm,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
MethodsFromColt,perm,11,103,47,0,0,0,0,0,0,8,3,0,0,43,23,0,0,154,73,Infinity,0.32
MethodsFromColt,perm,12,36,43,0,0,0,0,0,0,0,5,0,0,15,15,0,0,51,63,Infinity,0.55
MethodsFromColt,perm,13,20,27,3,2,0,1,0,0,0,3,3,1,11,9,0,0,37,43,Infinity,0.54
MethodsFromColt,perm,14,2,10,4,1,1,0,0,0,1,2,1,3,4,0,0,0,13,16,Infinity,0.55
MethodsFromColt,perm,15,28,10,2,3,0,1,0,0,2,1,2,6,4,11,0,0,38,32,Infinity,0.46
MethodsFromColt,perm,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
MethodsFromColt,perm,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
MethodsFromColt,perm,18,68,53,3,7,1,1,0,0,5,6,7,5,39,10,0,0,123,82,Infinity,0.40
MethodsFromColt,perm,19,28,38,6,4,1,1,0,0,4,8,6,2,14,11,0,0,59,64,Infinity,0.52
MethodsFromColt,perm,20,77,69,4,6,2,0,0,0,7,11,14,2,35,20,0,0,139,108,Infinity,0.44
MethodsFromColt,perm,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
MethodsFromColt,perm,22,66,47,6,4,1,1,0,0,2,9,9,3,25,17,0,0,109,81,Infinity,0.43
MethodsFromColt,perm,23,59,23,8,2,2,0,0,0,8,3,3,5,18,12,0,0,98,45,Infinity,0.31
MethodsFromColt,perm,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
MethodsFromColt,perm,25,4,18,3,2,1,0,0,0,1,3,2,2,5,6,0,0,16,31,Infinity,0.66
MethodsFromColt,perm,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
MethodsFromColt,perm,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
MethodsFromColt,perm,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
MethodsFromColt,perm,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
MethodsFromColt,perm,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
MethodsFromColt,perm,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
MethodsFromColt,perm,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
MethodsFromColt,perm,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
MethodsFromColt,perm,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
MethodsFromColt,perm,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
MethodsFromColt,perm,7,1,28,0,5,0,1,0,0,0,3,0,4,0,13,0,0,1,54,Infinity,0.98
MethodsFromColt,perm,8,0,27,1,11,1,1,0,0,1,3,0,0,1,8,0,0,4,50,Infinity,0.93
MethodsFromColt,perm,9,4,7,2,3,0,1,0,0,1,1,2,2,2,3,0,0,11,17,Infinity,0.61
MethodsFromColt,perm,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
MethodsFromColt,perm,11,20,130,0,0,0,0,0,0,1,10,0,0,7,59,0,0,28,199,Infinity,0.88
MethodsFromColt,perm,12,3,76,0,0,0,0,0,0,0,5,0,0,2,28,0,0,5,109,Infinity,0.96
MethodsFromColt,perm,13,2,45,1,4,0,1,0,0,0,3,0,4,2,18,0,0,5,75,Infinity,0.94
MethodsFromColt,perm,14,0,12,1,4,1,0,0,0,0,3,0,4,0,4,0,0,2,27,Infinity,0.93
MethodsFromColt,perm,15,5,33,0,5,0,1,0,0,0,3,0,8,2,13,0,0,7,63,Infinity,0.90
MethodsFromColt,perm,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
MethodsFromColt,perm,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
MethodsFromColt,perm,18,8,113,1,9,0,2,0,0,1,10,1,11,4,45,0,0,15,190,Infinity,0.93
MethodsFromColt,perm,19,8,58,2,8,0,2,0,0,0,12,1,7,0,25,0,0,11,112,Infinity,0.91
MethodsFromColt,perm,20,8,138,0,10,0,2,0,0,1,17,3,13,5,50,0,0,17,230,Infinity,0.93
MethodsFromColt,perm,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
MethodsFromColt,perm,22,11,102,0,10,0,2,0,0,1,10,2,10,5,37,0,0,19,171,Infinity,0.90
MethodsFromColt,perm,23,12,70,2,8,1,1,0,0,1,10,1,7,5,25,0,0,22,121,Infinity,0.85
MethodsFromColt,perm,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
MethodsFromColt,perm,25,0,22,0,5,0,1,0,0,0,4,0,4,0,11,0,0,0,47,Infinity,1.00
MethodsFromColt,perm,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
MethodsFromColt,perm,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
MethodsFromColt,perm,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
MethodsFromColt,perm,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
MethodsFromColt,perm,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
MethodsFromColt,perm,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
MethodsFromColt,perm,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
MethodsFromColt,perm,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
MethodsFromColt,perm,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
MethodsFromColt,perm,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
