class,mr,run,AO_live,AO_killed,RO_live,RO_killed,CO_live,CO_killed,SO_live,SO_killed,LO_live,LO_killed,AS_live,AS_killed,DL_live,DL_killed,total_timeouts,total_exceptions,total_live,total_killed,error_score,mutant_score
MethodsFromMahout,add,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
MethodsFromMahout,add,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
MethodsFromMahout,add,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
MethodsFromMahout,add,4,6,2,0,0,0,0,0,0,0,2,1,1,3,1,0,0,10,6,Infinity,0.38
MethodsFromMahout,add,5,4,0,7,0,1,0,0,0,1,0,1,1,4,0,3,16,18,1,0.0625,0.05
MethodsFromMahout,add,6,20,0,14,4,3,0,0,0,1,0,0,0,16,0,3,16,54,4,0.25,0.07
MethodsFromMahout,add,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
MethodsFromMahout,add,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
MethodsFromMahout,add,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
MethodsFromMahout,add,4,6,2,0,0,0,0,0,0,0,2,1,1,3,1,0,0,10,6,Infinity,0.38
MethodsFromMahout,add,5,2,0,7,0,1,0,0,0,1,0,0,2,4,0,3,18,15,2,0.1111111111111111,0.12
MethodsFromMahout,add,6,22,0,14,4,3,0,0,0,1,0,0,0,16,0,3,14,56,4,0.2857142857142857,0.07
MethodsFromMahout,add,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
MethodsFromMahout,add,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
MethodsFromMahout,add,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
MethodsFromMahout,add,4,6,2,0,0,0,0,0,0,0,2,1,1,3,1,0,0,10,6,Infinity,0.38
MethodsFromMahout,add,5,2,0,7,0,1,0,0,0,1,0,1,1,4,0,3,18,16,1,0.05555555555555555,0.06
MethodsFromMahout,add,6,21,0,14,4,3,0,0,0,1,0,0,0,16,0,3,15,55,4,0.26666666666666666,0.07
MethodsFromMahout,add,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
MethodsFromMahout,add,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
MethodsFromMahout,add,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
MethodsFromMahout,add,4,6,2,0,0,0,0,0,0,0,2,1,1,3,1,0,0,10,6,Infinity,0.38
MethodsFromMahout,add,5,3,0,7,0,1,0,0,0,1,0,0,2,4,0,3,17,16,2,0.11764705882352941,0.11
MethodsFromMahout,add,6,21,0,14,4,3,0,0,0,1,0,0,0,16,0,3,15,55,4,0.26666666666666666,0.07
MethodsFromMahout,add,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
MethodsFromMahout,add,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
MethodsFromMahout,add,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
MethodsFromMahout,add,4,6,2,0,0,0,0,0,0,0,2,1,1,3,1,0,0,10,6,Infinity,0.38
MethodsFromMahout,add,5,4,0,7,0,1,0,0,0,1,0,1,1,4,0,3,16,18,1,0.0625,0.05
MethodsFromMahout,add,6,20,0,15,3,3,0,0,0,1,0,0,0,16,0,3,16,55,3,0.1875,0.05
MethodsFromMahout,add,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
MethodsFromMahout,add,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
MethodsFromMahout,add,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
MethodsFromMahout,add,4,6,2,0,0,0,0,0,0,0,2,1,1,3,1,0,0,10,6,Infinity,0.38
MethodsFromMahout,add,5,3,0,7,0,1,0,0,0,1,0,1,1,4,0,3,17,17,1,0.058823529411764705,0.06
MethodsFromMahout,add,6,22,0,14,4,3,0,0,0,1,0,0,0,16,0,3,14,56,4,0.2857142857142857,0.07
MethodsFromMahout,add,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
MethodsFromMahout,add,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
MethodsFromMahout,add,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
MethodsFromMahout,add,4,6,2,0,0,0,0,0,0,0,2,1,1,3,1,0,0,10,6,Infinity,0.38
MethodsFromMahout,add,5,2,0,7,0,1,0,0,0,1,0,0,2,4,0,3,18,15,2,0.1111111111111111,0.12
MethodsFromMahout,add,6,22,0,14,4,3,0,0,0,1,0,0,0,16,0,3,14,56,4,0.2857142857142857,0.07
MethodsFromMahout,add,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
MethodsFromMahout,add,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
MethodsFromMahout,add,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
MethodsFromMahout,add,4,6,2,0,0,0,0,0,0,0,2,1,1,3,1,0,0,10,6,Infinity,0.38
MethodsFromMahout,add,5,4,0,7,0,1,0,0,0,1,0,0,1,4,0,3,16,17,1,0.0625,0.06
MethodsFromMahout,add,6,20,0,15,3,3,0,0,0,1,0,0,0,16,0,3,16,55,3,0.1875,0.05
MethodsFromMahout,add,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
MethodsFromMahout,add,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
MethodsFromMahout,add,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
MethodsFromMahout,add,4,6,2,0,0,0,0,0,0,0,2,1,1,3,1,0,0,10,6,Infinity,0.38
MethodsFromMahout,add,5,3,0,7,0,1,0,0,0,1,0,1,1,4,0,3,17,17,1,0.058823529411764705,0.06
MethodsFromMahout,add,6,21,0,14,4,3,0,0,0,1,0,0,0,16,0,3,15,55,4,0.26666666666666666,0.07
