class,method,mr,run,AORB_live,AORB_killed,AORS_live,AORS_killed,AOIU_live,AOIU_killed,AOIS_live,AOIS_killed,AODU_live,AODU_killed,AODS_live,AODS_killed,ROR_live,ROR_killed,COR_live,COR_killed,COD_live,COD_killed,COI_live,COI_killed,SOR_live,SOR_killed,LOR_live,LOR_killed,LOI_live,LOI_killed,LOD_live,LOD_killed,ASRS_live,ASRS_killed,SDL_live,SDL_killed,VDL_live,VDL_killed,CDL_live,CDL_killed,ODL_live,ODL_killed,total_live,total_killed,mutant_score
MethodsFromMahout,add,aggregate,1,0,0,1,0,1,0,8,0,0,0,0,0,12,0,0,0,0,0,2,0,0,0,0,0,6,0,0,0,4,0,4,0,1,0,0,0,1,0,40,0,0.00
MethodsFromMahout,add,aggregate,2,0,0,1,0,1,0,8,0,0,0,0,0,12,0,0,0,0,0,2,0,0,0,0,0,6,0,0,0,4,0,4,0,1,0,0,0,1,0,40,0,0.00
MethodsFromMahout,add,aggregate,3,0,0,1,0,1,0,8,0,0,0,0,0,12,0,0,0,0,0,2,0,0,0,0,0,6,0,0,0,4,0,4,0,1,0,0,0,1,0,40,0,0.00
MethodsFromMahout,add,aggregate,4,0,0,1,0,1,0,8,0,0,0,0,0,12,0,0,0,0,0,2,0,0,0,0,0,6,0,0,0,4,0,4,0,1,0,0,0,1,0,40,0,0.00
MethodsFromMahout,add,aggregate,5,0,0,1,0,1,0,8,0,0,0,0,0,12,0,0,0,0,0,2,0,0,0,0,0,6,0,0,0,4,0,4,0,1,0,0,0,1,0,40,0,0.00
MethodsFromMahout,add,aggregate,6,0,0,1,0,1,0,8,0,0,0,0,0,12,0,0,0,0,0,2,0,0,0,0,0,6,0,0,0,4,0,4,0,1,0,0,0,1,0,40,0,0.00
MethodsFromMahout,add,aggregate,7,0,0,1,0,1,0,8,0,0,0,0,0,12,0,0,0,0,0,2,0,0,0,0,0,6,0,0,0,4,0,4,0,1,0,0,0,1,0,40,0,0.00
MethodsFromMahout,add,aggregate,8,0,0,1,0,1,0,8,0,0,0,0,0,12,0,0,0,0,0,2,0,0,0,0,0,6,0,0,0,4,0,4,0,1,0,0,0,1,0,40,0,0.00
MethodsFromMahout,add,aggregate,9,0,0,1,0,1,0,8,0,0,0,0,0,12,0,0,0,0,0,2,0,0,0,0,0,6,0,0,0,4,0,4,0,1,0,0,0,1,0,40,0,0.00
MethodsFromMahout,add,aggregate,10,0,0,1,0,1,0,8,0,0,0,0,0,12,0,0,0,0,0,2,0,0,0,0,0,6,0,0,0,4,0,4,0,1,0,0,0,1,0,40,0,0.00
MethodsFromMahout,chebyshevDistance,aggregate,1,8,0,1,0,3,0,26,0,1,0,0,0,19,0,0,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,10,0,5,0,0,0,5,0,87,0,0.00
MethodsFromMahout,chebyshevDistance,aggregate,2,8,0,1,0,3,0,26,0,1,0,0,0,19,0,0,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,10,0,5,0,0,0,5,0,87,0,0.00
MethodsFromMahout,chebyshevDistance,aggregate,3,8,0,1,0,3,0,26,0,1,0,0,0,19,0,0,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,10,0,5,0,0,0,5,0,87,0,0.00
MethodsFromMahout,chebyshevDistance,aggregate,4,8,0,1,0,3,0,26,0,1,0,0,0,19,0,0,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,10,0,5,0,0,0,5,0,87,0,0.00
MethodsFromMahout,chebyshevDistance,aggregate,5,8,0,1,0,3,0,26,0,1,0,0,0,19,0,0,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,10,0,5,0,0,0,5,0,87,0,0.00
MethodsFromMahout,chebyshevDistance,aggregate,6,8,0,1,0,3,0,26,0,1,0,0,0,19,0,0,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,10,0,5,0,0,0,5,0,87,0,0.00
MethodsFromMahout,chebyshevDistance,aggregate,7,8,0,1,0,3,0,26,0,1,0,0,0,19,0,0,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,10,0,5,0,0,0,5,0,87,0,0.00
MethodsFromMahout,chebyshevDistance,aggregate,8,8,0,1,0,3,0,26,0,1,0,0,0,19,0,0,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,10,0,5,0,0,0,5,0,87,0,0.00
MethodsFromMahout,chebyshevDistance,aggregate,9,8,0,1,0,3,0,26,0,1,0,0,0,19,0,0,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,10,0,5,0,0,0,5,0,87,0,0.00
MethodsFromMahout,chebyshevDistance,aggregate,10,8,0,1,0,3,0,26,0,1,0,0,0,19,0,0,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,10,0,5,0,0,0,5,0,87,0,0.00
MethodsFromMahout,errorRate,aggregate,1,4,0,3,0,1,0,24,0,0,0,0,0,19,0,0,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,10,0,5,0,0,0,3,0,77,0,0.00
MethodsFromMahout,errorRate,aggregate,2,4,0,3,0,1,0,24,0,0,0,0,0,19,0,0,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,10,0,5,0,0,0,3,0,77,0,0.00
MethodsFromMahout,errorRate,aggregate,3,4,0,3,0,1,0,24,0,0,0,0,0,19,0,0,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,10,0,5,0,0,0,3,0,77,0,0.00
MethodsFromMahout,errorRate,aggregate,4,4,0,3,0,1,0,24,0,0,0,0,0,19,0,0,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,10,0,5,0,0,0,3,0,77,0,0.00
MethodsFromMahout,errorRate,aggregate,5,4,0,3,0,1,0,24,0,0,0,0,0,19,0,0,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,10,0,5,0,0,0,3,0,77,0,0.00
MethodsFromMahout,errorRate,aggregate,6,4,0,3,0,1,0,24,0,0,0,0,0,19,0,0,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,10,0,5,0,0,0,3,0,77,0,0.00
MethodsFromMahout,errorRate,aggregate,7,4,0,3,0,1,0,24,0,0,0,0,0,19,0,0,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,10,0,5,0,0,0,3,0,77,0,0.00
MethodsFromMahout,errorRate,aggregate,8,4,0,3,0,1,0,24,0,0,0,0,0,19,0,0,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,10,0,5,0,0,0,3,0,77,0,0.00
MethodsFromMahout,errorRate,aggregate,9,4,0,3,0,1,0,24,0,0,0,0,0,19,0,0,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,10,0,5,0,0,0,3,0,77,0,0.00
MethodsFromMahout,errorRate,aggregate,10,4,0,3,0,1,0,24,0,0,0,0,0,19,0,0,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,10,0,5,0,0,0,3,0,77,0,0.00
MethodsFromMahout,manhattanDistance,aggregate,1,4,0,1,0,2,0,14,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,4,0,4,0,3,0,0,0,3,0,45,0,0.00
MethodsFromMahout,manhattanDistance,aggregate,2,4,0,1,0,2,0,14,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,4,0,4,0,3,0,0,0,3,0,45,0,0.00
MethodsFromMahout,manhattanDistance,aggregate,3,4,0,1,0,2,0,14,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,4,0,4,0,3,0,0,0,3,0,45,0,0.00
MethodsFromMahout,manhattanDistance,aggregate,4,4,0,1,0,2,0,14,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,4,0,4,0,3,0,0,0,3,0,45,0,0.00
MethodsFromMahout,manhattanDistance,aggregate,5,4,0,1,0,2,0,14,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,4,0,4,0,3,0,0,0,3,0,45,0,0.00
MethodsFromMahout,manhattanDistance,aggregate,6,4,0,1,0,2,0,14,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,4,0,4,0,3,0,0,0,3,0,45,0,0.00
MethodsFromMahout,manhattanDistance,aggregate,7,4,0,1,0,2,0,14,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,4,0,4,0,3,0,0,0,3,0,45,0,0.00
MethodsFromMahout,manhattanDistance,aggregate,8,4,0,1,0,2,0,14,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,4,0,4,0,3,0,0,0,3,0,45,0,0.00
MethodsFromMahout,manhattanDistance,aggregate,9,4,0,1,0,2,0,14,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,4,0,4,0,3,0,0,0,3,0,45,0,0.00
MethodsFromMahout,manhattanDistance,aggregate,10,4,0,1,0,2,0,14,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,4,0,4,0,3,0,0,0,3,0,45,0,0.00
MethodsFromMahout,sum,aggregate,1,0,0,0,0,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,3,0,0,0,0,0,1,0,18,0,0.00
