class,mr,run,AO_live,AO_killed,RO_live,RO_killed,CO_live,CO_killed,SO_live,SO_killed,LO_live,LO_killed,AS_live,AS_killed,DL_live,DL_killed,total_timeouts,total_exceptions,total_live,total_killed,error_score,mutant_score
MethodsFromMahout,all,1,7,2,4,0,1,0,0,0,1,0,3,1,7,1,3,0,23,4,Infinity,0.15
MethodsFromMahout,all,2,26,2,14,0,2,0,0,0,1,0,0,0,17,0,8,0,60,2,Infinity,0.03
MethodsFromMahout,all,3,69,3,18,0,3,0,0,0,1,0,12,0,35,4,3,0,138,7,Infinity,0.05
MethodsFromMahout,all,4,6,2,0,0,0,0,0,0,0,2,1,1,3,1,0,0,10,6,Infinity,0.38
MethodsFromMahout,all,5,4,0,7,0,1,0,0,0,1,0,1,1,4,0,3,0,18,1,Infinity,0.05
MethodsFromMahout,all,6,20,0,14,4,3,0,0,0,1,0,0,0,16,0,3,0,54,4,Infinity,0.07
MethodsFromMahout,all,1,7,2,4,0,1,0,0,0,1,0,3,1,7,1,3,0,23,4,Infinity,0.15
MethodsFromMahout,all,2,27,2,14,0,1,0,0,0,1,0,0,0,17,0,8,0,60,2,Infinity,0.03
MethodsFromMahout,all,3,68,3,18,0,3,0,0,0,1,0,12,0,35,4,3,0,137,7,Infinity,0.05
MethodsFromMahout,all,4,6,2,0,0,0,0,0,0,0,2,1,1,3,1,0,0,10,6,Infinity,0.38
MethodsFromMahout,all,5,2,0,7,0,1,0,0,0,1,0,0,2,4,0,3,0,15,2,Infinity,0.12
MethodsFromMahout,all,6,22,0,14,4,3,0,0,0,1,0,0,0,16,0,3,0,56,4,Infinity,0.07
MethodsFromMahout,all,1,7,2,4,0,1,0,0,0,1,0,3,1,7,1,3,0,23,4,Infinity,0.15
MethodsFromMahout,all,2,28,2,14,0,2,0,0,0,1,0,0,0,17,0,8,0,62,2,Infinity,0.03
MethodsFromMahout,all,3,70,4,18,0,3,0,0,0,1,0,12,0,34,5,3,0,138,9,Infinity,0.06
MethodsFromMahout,all,4,6,2,0,0,0,0,0,0,0,2,1,1,3,1,0,0,10,6,Infinity,0.38
MethodsFromMahout,all,5,2,0,7,0,1,0,0,0,1,0,1,1,4,0,3,0,16,1,Infinity,0.06
MethodsFromMahout,all,6,21,0,14,4,3,0,0,0,1,0,0,0,16,0,3,0,55,4,Infinity,0.07
MethodsFromMahout,all,1,8,1,4,0,1,0,0,0,1,0,3,1,8,0,3,0,25,2,Infinity,0.07
MethodsFromMahout,all,2,28,2,14,0,2,0,0,0,1,0,0,0,17,0,8,0,62,2,Infinity,0.03
MethodsFromMahout,all,3,64,5,18,0,3,0,0,0,1,0,12,0,35,4,3,0,133,9,Infinity,0.06
MethodsFromMahout,all,4,6,2,0,0,0,0,0,0,0,2,1,1,3,1,0,0,10,6,Infinity,0.38
MethodsFromMahout,all,5,3,0,7,0,1,0,0,0,1,0,0,2,4,0,3,0,16,2,Infinity,0.11
MethodsFromMahout,all,6,21,0,14,4,3,0,0,0,1,0,0,0,16,0,3,0,55,4,Infinity,0.07
MethodsFromMahout,all,1,7,2,4,0,1,0,0,0,1,0,3,1,7,1,3,0,23,4,Infinity,0.15
MethodsFromMahout,all,2,26,2,14,0,2,0,0,0,1,0,0,0,17,0,8,0,60,2,Infinity,0.03
MethodsFromMahout,all,3,69,4,18,0,3,0,0,0,1,0,12,0,34,5,3,0,137,9,Infinity,0.06
MethodsFromMahout,all,4,6,2,0,0,0,0,0,0,0,2,1,1,3,1,0,0,10,6,Infinity,0.38
MethodsFromMahout,all,5,4,0,7,0,1,0,0,0,1,0,1,1,4,0,3,0,18,1,Infinity,0.05
MethodsFromMahout,all,6,20,0,15,3,3,0,0,0,1,0,0,0,16,0,3,0,55,3,Infinity,0.05
MethodsFromMahout,all,1,8,1,4,0,1,0,0,0,1,0,3,1,7,1,3,0,24,3,Infinity,0.11
MethodsFromMahout,all,2,27,2,14,0,2,0,0,0,1,0,0,0,17,0,8,0,61,2,Infinity,0.03
MethodsFromMahout,all,3,65,4,18,0,3,0,0,0,1,0,12,0,35,4,3,0,134,8,Infinity,0.06
MethodsFromMahout,all,4,6,2,0,0,0,0,0,0,0,2,1,1,3,1,0,0,10,6,Infinity,0.38
MethodsFromMahout,all,5,3,0,7,0,1,0,0,0,1,0,1,1,4,0,3,0,17,1,Infinity,0.06
MethodsFromMahout,all,6,22,0,14,4,3,0,0,0,1,0,0,0,16,0,3,0,56,4,Infinity,0.07
MethodsFromMahout,all,1,7,2,4,0,1,0,0,0,1,0,3,1,7,1,3,0,23,4,Infinity,0.15
MethodsFromMahout,all,2,29,2,14,0,2,0,0,0,1,0,0,0,17,0,8,0,63,2,Infinity,0.03
MethodsFromMahout,all,3,67,3,18,0,3,0,0,0,1,0,12,0,35,4,3,0,136,7,Infinity,0.05
MethodsFromMahout,all,4,6,2,0,0,0,0,0,0,0,2,1,1,3,1,0,0,10,6,Infinity,0.38
MethodsFromMahout,all,5,2,0,7,0,1,0,0,0,1,0,0,2,4,0,3,0,15,2,Infinity,0.12
MethodsFromMahout,all,6,22,0,14,4,3,0,0,0,1,0,0,0,16,0,3,0,56,4,Infinity,0.07
MethodsFromMahout,all,1,8,1,4,0,1,0,0,0,1,0,3,1,7,1,3,0,24,3,Infinity,0.11
MethodsFromMahout,all,2,26,2,14,0,2,0,0,0,1,0,0,0,17,0,8,0,60,2,Infinity,0.03
