class,mr,run,AO_live,AO_killed,RO_live,RO_killed,CO_live,CO_killed,SO_live,SO_killed,LO_live,LO_killed,AS_live,AS_killed,DL_live,DL_killed,total_timeouts,total_exceptions,total_live,total_killed,error_score,mutant_score
MethodsFromMahout,inc,1,7,2,4,0,1,0,0,0,1,0,3,1,8,0,3,15,24,3,0.2,0.11
MethodsFromMahout,inc,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
MethodsFromMahout,inc,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
MethodsFromMahout,inc,4,6,2,0,0,0,0,0,0,0,2,1,1,3,1,0,0,10,6,Infinity,0.38
MethodsFromMahout,inc,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
MethodsFromMahout,inc,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
MethodsFromMahout,inc,1,7,2,4,0,1,0,0,0,1,0,3,1,7,1,3,15,23,4,0.26666666666666666,0.15
MethodsFromMahout,inc,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
MethodsFromMahout,inc,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
MethodsFromMahout,inc,4,6,2,0,0,0,0,0,0,0,2,1,1,3,1,0,0,10,6,Infinity,0.38
MethodsFromMahout,inc,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
MethodsFromMahout,inc,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
MethodsFromMahout,inc,1,7,2,4,0,1,0,0,0,1,0,3,1,7,1,3,15,23,4,0.26666666666666666,0.15
MethodsFromMahout,inc,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
MethodsFromMahout,inc,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
MethodsFromMahout,inc,4,6,2,0,0,0,0,0,0,0,2,1,1,3,1,0,0,10,6,Infinity,0.38
MethodsFromMahout,inc,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
MethodsFromMahout,inc,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
MethodsFromMahout,inc,1,8,1,4,0,1,0,0,0,1,0,3,1,8,0,3,15,25,2,0.13333333333333333,0.07
MethodsFromMahout,inc,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
MethodsFromMahout,inc,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
MethodsFromMahout,inc,4,6,2,0,0,0,0,0,0,0,2,1,1,3,1,0,0,10,6,Infinity,0.38
MethodsFromMahout,inc,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
MethodsFromMahout,inc,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
MethodsFromMahout,inc,1,7,2,4,0,1,0,0,0,1,0,3,1,8,0,3,15,24,3,0.2,0.11
MethodsFromMahout,inc,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
MethodsFromMahout,inc,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
MethodsFromMahout,inc,4,6,2,0,0,0,0,0,0,0,2,1,1,3,1,0,0,10,6,Infinity,0.38
MethodsFromMahout,inc,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
MethodsFromMahout,inc,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
MethodsFromMahout,inc,1,8,1,4,0,1,0,0,0,1,0,3,1,8,0,3,15,25,2,0.13333333333333333,0.07
MethodsFromMahout,inc,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
MethodsFromMahout,inc,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
MethodsFromMahout,inc,4,6,2,0,0,0,0,0,0,0,2,1,1,3,1,0,0,10,6,Infinity,0.38
MethodsFromMahout,inc,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
MethodsFromMahout,inc,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
MethodsFromMahout,inc,1,7,2,4,0,1,0,0,0,1,0,3,1,7,1,3,15,23,4,0.26666666666666666,0.15
MethodsFromMahout,inc,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
MethodsFromMahout,inc,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
MethodsFromMahout,inc,4,6,2,0,0,0,0,0,0,0,2,1,1,3,1,0,0,10,6,Infinity,0.38
MethodsFromMahout,inc,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
MethodsFromMahout,inc,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
MethodsFromMahout,inc,1,8,1,4,0,1,0,0,0,1,0,3,1,7,1,3,15,24,3,0.2,0.11
MethodsFromMahout,inc,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
MethodsFromMahout,inc,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
MethodsFromMahout,inc,4,6,2,0,0,0,0,0,0,0,2,1,1,3,1,0,0,10,6,Infinity,0.38
MethodsFromMahout,inc,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
MethodsFromMahout,inc,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
MethodsFromMahout,inc,1,7,2,4,0,1,0,0,0,1,0,3,1,8,0,3,15,24,3,0.2,0.11
MethodsFromMahout,inc,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
MethodsFromMahout,inc,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
MethodsFromMahout,inc,4,6,2,0,0,0,0,0,0,0,2,1,1,3,1,0,0,10,6,Infinity,0.38
MethodsFromMahout,inc,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
MethodsFromMahout,inc,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
MethodsFromMahout,inc,1,7,2,4,0,1,0,0,0,1,0,3,1,7,1,3,15,23,4,0.26666666666666666,0.15
MethodsFromMahout,inc,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
MethodsFromMahout,inc,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
MethodsFromMahout,inc,4,6,2,0,0,0,0,0,0,0,2,1,1,3,1,0,0,10,6,Infinity,0.38
MethodsFromMahout,inc,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
MethodsFromMahout,inc,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
