class,mr,run,AO_live,AO_killed,RO_live,RO_killed,CO_live,CO_killed,SO_live,SO_killed,LO_live,LO_killed,AS_live,AS_killed,DL_live,DL_killed,total_timeouts,total_exceptions,total_live,total_killed,error_score,mutant_score
MethodsFromMahout,inv,1,7,2,4,0,1,0,0,0,1,0,3,1,8,0,3,14,24,3,0.21428571428571427,0.11
MethodsFromMahout,inv,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
MethodsFromMahout,inv,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
MethodsFromMahout,inv,4,6,2,0,0,0,0,0,0,0,2,1,1,4,0,0,2,11,5,2.5,0.31
MethodsFromMahout,inv,5,4,0,7,0,1,0,0,0,1,0,1,1,4,0,3,18,18,1,0.05555555555555555,0.05
MethodsFromMahout,inv,6,20,0,14,4,3,0,0,0,1,0,0,0,16,0,3,16,54,4,0.25,0.07
MethodsFromMahout,inv,1,7,2,4,0,1,0,0,0,1,0,3,1,8,0,3,13,24,3,0.23076923076923078,0.11
MethodsFromMahout,inv,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
MethodsFromMahout,inv,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
MethodsFromMahout,inv,4,6,2,0,0,0,0,0,0,0,2,1,1,4,0,0,2,11,5,2.5,0.31
MethodsFromMahout,inv,5,2,0,7,0,1,0,0,0,1,0,1,1,4,0,3,20,16,1,0.05,0.06
MethodsFromMahout,inv,6,22,0,16,2,3,0,0,0,1,0,0,0,16,0,3,14,58,2,0.14285714285714285,0.03
MethodsFromMahout,inv,1,7,2,4,0,1,0,0,0,1,0,3,1,8,0,3,12,24,3,0.25,0.11
MethodsFromMahout,inv,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
MethodsFromMahout,inv,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
MethodsFromMahout,inv,4,6,2,0,0,0,0,0,0,0,2,1,1,4,0,0,2,11,5,2.5,0.31
MethodsFromMahout,inv,5,2,0,7,0,1,0,0,0,1,0,1,1,4,0,3,20,16,1,0.05,0.06
MethodsFromMahout,inv,6,21,0,15,3,3,0,0,0,1,0,0,0,16,0,3,15,56,3,0.2,0.05
MethodsFromMahout,inv,1,8,1,4,0,1,0,0,0,1,0,3,1,8,0,3,12,25,2,0.16666666666666666,0.07
MethodsFromMahout,inv,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
MethodsFromMahout,inv,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
MethodsFromMahout,inv,4,6,2,0,0,0,0,0,0,0,2,1,1,4,0,0,2,11,5,2.5,0.31
MethodsFromMahout,inv,5,3,0,7,0,1,0,0,0,1,0,1,1,4,0,3,19,17,1,0.05263157894736842,0.06
MethodsFromMahout,inv,6,21,0,15,3,3,0,0,0,1,0,0,0,16,0,3,15,56,3,0.2,0.05
MethodsFromMahout,inv,1,7,2,4,0,1,0,0,0,1,0,3,1,8,0,3,12,24,3,0.25,0.11
MethodsFromMahout,inv,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
MethodsFromMahout,inv,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
MethodsFromMahout,inv,4,6,2,0,0,0,0,0,0,0,2,1,1,4,0,0,2,11,5,2.5,0.31
MethodsFromMahout,inv,5,4,0,7,0,1,0,0,0,1,0,2,0,4,0,3,18,19,0,0.0,0.00
MethodsFromMahout,inv,6,20,0,17,1,3,0,0,0,1,0,0,0,16,0,3,16,57,1,0.0625,0.02
