class,mr,run,AO_live,AO_killed,RO_live,RO_killed,CO_live,CO_killed,SO_live,SO_killed,LO_live,LO_killed,AS_live,AS_killed,DL_live,DL_killed,total_timeouts,total_exceptions,total_live,total_killed,error_score,mutant_score
MethodsFromMahout,mult,1,7,2,4,0,1,0,0,0,1,0,3,1,7,1,3,14,23,4,0.2857142857142857,0.15
MethodsFromMahout,mult,2,26,2,14,0,2,0,0,0,1,0,0,0,17,0,8,9,60,2,0.2222222222222222,0.03
MethodsFromMahout,mult,3,69,3,18,0,3,0,0,0,1,0,12,0,35,4,3,34,138,7,0.20588235294117646,0.05
MethodsFromMahout,mult,4,6,2,0,0,0,0,0,0,0,2,1,1,3,1,0,0,10,6,Infinity,0.38
MethodsFromMahout,mult,5,4,0,7,0,1,0,0,0,1,0,1,1,4,0,3,16,18,1,0.0625,0.05
MethodsFromMahout,mult,6,20,0,14,4,3,0,0,0,1,0,0,0,16,0,3,16,54,4,0.25,0.07
MethodsFromMahout,mult,1,7,2,4,0,1,0,0,0,1,0,3,1,7,1,3,13,23,4,0.3076923076923077,0.15
MethodsFromMahout,mult,2,27,2,14,0,1,0,0,0,1,0,0,0,17,0,8,9,60,2,0.2222222222222222,0.03
MethodsFromMahout,mult,3,68,3,18,0,3,0,0,0,1,0,12,0,35,4,3,35,137,7,0.2,0.05
MethodsFromMahout,mult,4,6,2,0,0,0,0,0,0,0,2,1,1,3,1,0,0,10,6,Infinity,0.38
MethodsFromMahout,mult,5,2,0,7,0,1,0,0,0,1,0,0,2,4,0,3,18,15,2,0.1111111111111111,0.12
MethodsFromMahout,mult,6,22,0,14,4,3,0,0,0,1,0,0,0,16,0,3,14,56,4,0.2857142857142857,0.07
MethodsFromMahout,mult,1,7,2,4,0,1,0,0,0,1,0,3,1,7,1,3,12,23,4,0.3333333333333333,0.15
MethodsFromMahout,mult,2,28,2,14,0,2,0,0,0,1,0,0,0,17,0,8,7,62,2,0.2857142857142857,0.03
MethodsFromMahout,mult,3,70,4,18,0,3,0,0,0,1,0,12,0,34,5,3,32,138,9,0.28125,0.06
MethodsFromMahout,mult,4,6,2,0,0,0,0,0,0,0,2,1,1,3,1,0,0,10,6,Infinity,0.38
MethodsFromMahout,mult,5,2,0,7,0,1,0,0,0,1,0,1,1,4,0,3,18,16,1,0.05555555555555555,0.06
MethodsFromMahout,mult,6,21,0,14,4,3,0,0,0,1,0,0,0,16,0,3,15,55,4,0.26666666666666666,0.07
MethodsFromMahout,mult,1,8,1,4,0,1,0,0,0,1,0,3,1,8,0,3,12,25,2,0.16666666666666666,0.07
MethodsFromMahout,mult,2,28,2,14,0,2,0,0,0,1,0,0,0,17,0,8,7,62,2,0.2857142857142857,0.03
MethodsFromMahout,mult,3,64,5,18,0,3,0,0,0,1,0,12,0,35,4,3,37,133,9,0.24324324324324326,0.06
MethodsFromMahout,mult,4,6,2,0,0,0,0,0,0,0,2,1,1,3,1,0,0,10,6,Infinity,0.38
MethodsFromMahout,mult,5,3,0,7,0,1,0,0,0,1,0,0,2,4,0,3,17,16,2,0.11764705882352941,0.11
MethodsFromMahout,mult,6,21,0,14,4,3,0,0,0,1,0,0,0,16,0,3,15,55,4,0.26666666666666666,0.07
MethodsFromMahout,mult,1,7,2,4,0,1,0,0,0,1,0,3,1,7,1,3,12,23,4,0.3333333333333333,0.15
MethodsFromMahout,mult,2,26,2,14,0,2,0,0,0,1,0,0,0,17,0,8,9,60,2,0.2222222222222222,0.03
MethodsFromMahout,mult,3,69,4,18,0,3,0,0,0,1,0,12,0,34,5,3,33,137,9,0.2727272727272727,0.06
MethodsFromMahout,mult,4,6,2,0,0,0,0,0,0,0,2,1,1,3,1,0,0,10,6,Infinity,0.38
MethodsFromMahout,mult,5,4,0,7,0,1,0,0,0,1,0,1,1,4,0,3,16,18,1,0.0625,0.05
MethodsFromMahout,mult,6,20,0,15,3,3,0,0,0,1,0,0,0,16,0,3,16,55,3,0.1875,0.05
MethodsFromMahout,mult,1,8,1,4,0,1,0,0,0,1,0,3,1,7,1,3,15,24,3,0.2,0.11
MethodsFromMahout,mult,2,27,2,14,0,2,0,0,0,1,0,0,0,17,0,8,8,61,2,0.25,0.03
MethodsFromMahout,mult,3,65,4,18,0,3,0,0,0,1,0,12,0,35,4,3,37,134,8,0.21621621621621623,0.06
