class,mr,run,AO_live,AO_killed,RO_live,RO_killed,CO_live,CO_killed,SO_live,SO_killed,LO_live,LO_killed,AS_live,AS_killed,DL_live,DL_killed,total_timeouts,total_exceptions,total_live,total_killed,error_score,mutant_score
MethodsFromMahout,perm,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
MethodsFromMahout,perm,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
MethodsFromMahout,perm,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
MethodsFromMahout,perm,4,6,2,0,0,0,0,0,0,0,2,1,1,3,1,0,0,10,6,Infinity,0.38
MethodsFromMahout,perm,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
MethodsFromMahout,perm,6,20,0,14,4,3,0,0,0,1,0,0,0,16,0,3,16,54,4,0.25,0.07
MethodsFromMahout,perm,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
MethodsFromMahout,perm,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
MethodsFromMahout,perm,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
MethodsFromMahout,perm,4,6,2,0,0,0,0,0,0,0,2,1,1,3,1,0,0,10,6,Infinity,0.38
MethodsFromMahout,perm,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
MethodsFromMahout,perm,6,22,0,14,4,3,0,0,0,1,0,0,0,16,0,3,14,56,4,0.2857142857142857,0.07
MethodsFromMahout,perm,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
MethodsFromMahout,perm,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
MethodsFromMahout,perm,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
MethodsFromMahout,perm,4,6,2,0,0,0,0,0,0,0,2,1,1,3,1,0,0,10,6,Infinity,0.38
MethodsFromMahout,perm,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
MethodsFromMahout,perm,6,21,0,14,4,3,0,0,0,1,0,0,0,16,0,3,15,55,4,0.26666666666666666,0.07
MethodsFromMahout,perm,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
