Class,MR,MutantType,Live,Killed,Score
MethodCollection2,aggregate,arithmetic,0,21,1.0
MethodCollection2,aggregate,relational,0,5,1.0
MethodCollection2,aggregate,conditional,0,1,1.0
MethodCollection2,aggregate,shift,0,0,NaN
MethodCollection2,aggregate,logical,0,4,1.0
MethodCollection2,aggregate,assignment,0,4,1.0
MethodCollection2,aggregate,deletion,0,10,1.0
MethodCollection2,aggregate,arithmetic,0,26,1.0
MethodCollection2,aggregate,relational,0,5,1.0
MethodCollection2,aggregate,conditional,0,1,1.0
MethodCollection2,aggregate,shift,0,0,NaN
MethodCollection2,aggregate,logical,0,4,1.0
MethodCollection2,aggregate,assignment,0,0,NaN
MethodCollection2,aggregate,deletion,0,9,1.0
MethodCollection2,aggregate,arithmetic,0,10,1.0
MethodCollection2,aggregate,relational,0,12,1.0
MethodCollection2,aggregate,conditional,0,2,1.0
MethodCollection2,aggregate,shift,0,0,NaN
MethodCollection2,aggregate,logical,0,6,1.0
MethodCollection2,aggregate,assignment,0,4,1.0
MethodCollection2,aggregate,deletion,0,7,1.0
MethodCollection2,aggregate,arithmetic,0,10,1.0
MethodCollection2,aggregate,relational,0,12,1.0
MethodCollection2,aggregate,conditional,0,2,1.0
MethodCollection2,aggregate,shift,0,0,NaN
MethodCollection2,aggregate,logical,0,6,1.0
MethodCollection2,aggregate,assignment,0,4,1.0
MethodCollection2,aggregate,deletion,0,7,1.0
MethodCollection2,aggregate,arithmetic,0,10,1.0
MethodCollection2,aggregate,relational,0,12,1.0
MethodCollection2,aggregate,conditional,0,2,1.0
MethodCollection2,aggregate,shift,0,0,NaN
MethodCollection2,aggregate,logical,0,6,1.0
MethodCollection2,aggregate,assignment,0,4,1.0
MethodCollection2,aggregate,deletion,0,7,1.0
MethodCollection2,aggregate,arithmetic,5,354,0.9860724233983287
MethodCollection2,aggregate,relational,2,66,0.9705882352941176
MethodCollection2,aggregate,conditional,0,13,1.0
MethodCollection2,aggregate,shift,0,0,NaN
MethodCollection2,aggregate,logical,0,4,1.0
MethodCollection2,aggregate,assignment,0,12,1.0
MethodCollection2,aggregate,deletion,3,123,0.9761904761904762
MethodCollection2,aggregate,arithmetic,0,20,1.0
MethodCollection2,aggregate,relational,0,5,1.0
MethodCollection2,aggregate,conditional,0,1,1.0
MethodCollection2,aggregate,shift,0,0,NaN
MethodCollection2,aggregate,logical,0,5,1.0
MethodCollection2,aggregate,assignment,0,0,NaN
MethodCollection2,aggregate,deletion,0,8,1.0
MethodCollection2,aggregate,arithmetic,1,39,0.975
MethodCollection2,aggregate,relational,0,17,1.0
MethodCollection2,aggregate,conditional,0,3,1.0
MethodCollection2,aggregate,shift,0,0,NaN
MethodCollection2,aggregate,logical,0,7,1.0
MethodCollection2,aggregate,assignment,0,8,1.0
MethodCollection2,aggregate,deletion,0,20,1.0
MethodCollection2,aggregate,arithmetic,2,99,0.9801980198019802
MethodCollection2,aggregate,relational,0,17,1.0
MethodCollection2,aggregate,conditional,0,4,1.0
MethodCollection2,aggregate,shift,0,0,NaN
MethodCollection2,aggregate,logical,0,11,1.0
MethodCollection2,aggregate,assignment,0,12,1.0
MethodCollection2,aggregate,deletion,3,38,0.926829268292683
MethodCollection2,aggregate,arithmetic,0,11,1.0
MethodCollection2,aggregate,relational,0,13,1.0
MethodCollection2,aggregate,conditional,0,3,1.0
MethodCollection2,aggregate,shift,0,0,NaN
MethodCollection2,aggregate,logical,0,6,1.0
MethodCollection2,aggregate,assignment,0,0,NaN
MethodCollection2,aggregate,deletion,0,8,1.0
MethodCollection2,aggregate,arithmetic,0,39,1.0
