"","class","mr","run","AO_live","AO_killed","RO_live","RO_killed","CO_live","CO_killed","SO_live","SO_killed","LO_live","LO_killed","AS_live","AS_killed","DL_live","DL_killed","total_timeouts","total_exceptions","total_live","total_killed","error_score","mutant_score"
"1","MethodCollection2","aggregate",1,0,21,0,5,0,1,0,0,0,4,0,4,0,10,0,0,0,45,Inf,1
"2","MethodCollection2","aggregate",2,0,26,0,5,0,1,0,0,0,4,0,0,0,9,0,0,0,45,Inf,1
"3","MethodCollection2","aggregate",3,0,10,0,12,0,2,0,0,0,6,0,4,0,7,0,0,0,41,Inf,1
"4","MethodCollection2","aggregate",4,0,10,0,12,0,2,0,0,0,6,0,4,0,7,0,0,0,41,Inf,1
"5","MethodCollection2","aggregate",5,0,10,0,12,0,2,0,0,0,6,0,4,0,7,0,0,0,41,Inf,1
"6","MethodCollection2","aggregate",6,5,354,2,66,0,13,0,0,0,4,0,12,3,123,0,0,10,572,Inf,0.98
"7","MethodCollection2","aggregate",7,0,20,0,5,0,1,0,0,0,5,0,0,0,8,0,0,0,39,Inf,1
"8","MethodCollection2","aggregate",8,1,39,0,17,0,3,0,0,0,7,0,8,0,20,0,0,1,94,Inf,0.99
"9","MethodCollection2","aggregate",9,2,99,0,17,0,4,0,0,0,11,0,12,3,38,0,0,5,181,Inf,0.97
"10","MethodCollection2","aggregate",10,0,11,0,13,0,3,0,0,0,6,0,0,0,8,0,0,0,41,Inf,1
"11","MethodCollection2","aggregate",11,0,39,0,19,0,6,0,0,1,5,0,4,0,18,0,0,1,91,Inf,0.99
"12","MethodCollection2","aggregate",12,0,37,0,5,0,1,0,0,0,4,0,0,1,15,0,0,1,62,Inf,0.98
"13","MethodCollection2","aggregate",13,1,179,0,29,0,5,0,0,0,32,0,8,0,83,0,0,1,336,Inf,1
"14","MethodCollection2","aggregate",14,1,40,0,5,0,1,0,0,0,5,0,0,0,18,0,0,1,69,Inf,0.99
